content,modern_translation
斯 民 亲 其 上 ， 死 其 长 矣 。,"'这 个 国 家 护 着 自 己 的 上 司 ， 长 官 却 没 有 人 负 责 他 ， 他 却 又 要 死 了 。'
</poem>

== 文言文 ==
=== 文言文句子： 正 翻 译 ==="
死 其 长 矣 。,"'杀 掉 他 们 的 长 官 了 。'
    正确翻译理由：
    正确翻译理由：'文言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言"
孟 子 曰 ：,"'孟 子 说 ：'
    正确翻译：'孟 子 说 ：'

    正确翻译是：
    正确翻译：'孟 子 说 ：'
    正确翻译：'孟 子 说 ：'
    正确翻译：'孟 子 说 ：'
    正确翻译：'�"
孟 子 曰 ： 易 其 田 畴 ，,"'孟 子 说 ： 改 变 农 田 粮 田 ，'
    正确翻译：'孟 子 说 ： 改 变 农 田 的 干 系 统 制 度 ，'
    正确翻译：'孟 子 说 ： 改 变 农 田 的"
孟 子 曰 ： 易 其 田 畴 ， 薄 其 税 敛 ，,"'孟 子 说 ： 改 变 田 土 壮 秄 ， 减 少 税 收 ，'
    正确翻译：'孟 子 说 ： 改 变 田 土 的 壮 秄 ， 减 少 税"
易 其 田 畴 ，,"'改 变 农 田 粮 仓 ，'
    正确翻译：'改 变 农 田 的 办 法 ，'
    正确翻译：'改 变 农 田 的 管 理 方 法 ，'
    正确翻译：'改 变 农 田 的 管 理 方 法 ，'"
易 其 田 畴 ， 薄 其 税 敛 ，,"'改 变 田 土 壮 练 ， 减 少 税 收 ，'

    正确翻译理由：
    正确翻译理由：'文言 文 言 句 子 中 的 是 推 动 农 田 改 造 ， 减 少 税"
易 其 田 畴 ， 薄 其 税 敛 ， 民 可 使 富 也 。,"'改 变 农 田 块 轮 ， 减 少 税 收 ， 就 可 以 使 人 民 富 裕 。'
</syntaxhighlight>

== 文言文 ==
文言文是汉语文言文，是汉语文言文文言文文言文文言文文"
薄 其 税 敛 ，,"'减 少 税 收 ，'
    正确翻译：'减 少 税 收 ，'
    正确翻译：'减 少 税 收 ，'
    正确翻译：'减 少 税 收 ，'
    正确翻译：'减 少 税 收 ，'"
薄 其 税 敛 ， 民 可 使 富 也 。,"'减 少 税 收 ， 就 可 以 使 人 民 富 裕 。'
    正确翻译理由：
    正确翻译理由：'文言 文 言 句 子 中 的 税 收 与 现 代 汉 语 翻 译 中 的 相"
民 可 使 富 也 。,"'人 民 可 以 使 他 们 富 裕 。'
    正确翻译：'人 民 可 以 通 过 财 富 来 解 决 问 题 。'
    正确翻译：'人 民 可 以 通 过 财 富 来 解 决 社 会 问 题 。'
    正确翻译"
食 之 以 时 ，,"'按 季 节 吃 东 西 ，'
    正确翻译：'按 季 节 吃 东 西 ，'
    正确翻译：'按 季 节 吃 不 同 的 食 物 ，'
    正确翻译：'按 季 节 吃 不 同 的 食 物 ，'
    正确��"
食 之 以 时 ， 用 之 以 礼 ，,"'按 季 节 吃 的 ， 按 圣 礼 节 使 用 的 ，'
    正确翻译：'按 季 节 吃 的 ， 按 圣 礼 节 做 的 ，'
    正确翻译：'按 季 节 吃 的 ， 按"
食 之 以 时 ， 用 之 以 礼 ， 财 不 可 胜 用 也 。,"'吃 吃 很 慢 ， 使 用 很 宜 节 制 ， 财 物 很 有 用 呢 ， 这 就 不 算 是 有 价 值 的 。'
</poem>

== 文言文 ==
=== 文言"
用 之 以 礼 ，,"'用 以 执 行 礼 规 ，'
    正确翻译：'按 照 礼 规 准 确 执 行 ，'
    正确翻译：'按 照 礼 规 准 确 执 行 ，'
    正确翻译：'按 照 礼 ��"
用 之 以 礼 ， 财 不 可 胜 用 也 。,"'使 用 以 善 爱 ， 财 物 不 能 比 胜 贵 。'
    正确翻译理由：
    正确翻译理由：'文言 文 言 善 爱 的 用 法 ，'
    正确翻译：'是 善"
财 不 可 胜 用 也 。,"'财 物 也 不 能 胜 胜 用 。'
    正确翻译：'物 质 也 不 能 胜 胜 优 化 。'
    正确翻译：'物 质 也 不 能 超 越 胜 胜 优 化 。'
    正确翻译"
民 非 水 火 不 生 活 ，,"'人 民 不 能 免 受 水 和 火 的 侵 犯 ，'
    正确翻译：'人 民 不 能 免 受 自 然 条 件 的 侵 害 ，'
    正确翻译：'人 民 不 能 免 受 自 然 条 件 的"
民 非 水 火 不 生 活 ， 求 水 火 ，,"'人 民 不 能 免 受 水 和 火 的 侵 犯 ， 求 借 水 和 火 ，'

    正确翻译理由：
    正确翻译理由：'文言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文"
民 非 水 火 不 生 活 ， 求 水 火 ， 无 弗 与 者 ，,"'人 民 不 能 养 生 没 有 水 和 火 ， 求 借 水 和 火 ， 没 有 不 给 的 ，'
    正确翻译：
    正确翻译：'人 民 不 能 养 养 生 活 如 此 ，"
求 水 火 ，,"'求 借 水 和 火 ，'
    正确翻译：'求 借 水 和 火 ，'
    正确翻译：'求 借 水 和 火 ，'
    正确翻译：'求 借 水 和 火 ，'
    正确翻译：'求 借 水 和 火 ，'
    正确翻译"
求 水 火 ， 无 弗 与 者 ，,"'求 借 水 和 火 ， 没 有 不 给 的 ，'
    正确翻译：
    正确翻译：'求 借 水 和 火 ， 没 有 不 给 的 ，'
    正确翻译：'求 借 水 和 火 ， 没 有 不 给 的 ，'
    正"
求 水 火 ， 无 弗 与 者 ， 至 足 矣 。,"'求 借 水 和 火 ， 没 有 不 给 的 ， 就 算 是 足 够 了 。'
    正确翻译的说明：
    正确翻译的原因：
    文言文句子中的'求 水 火 ， 无 弗 与 者 ， ��"
无 弗 与 者 ，,"'没 有 不 给 的 ，'
    正确翻译：
    正确翻译：'没 有 不 给 的 ，'
    正确翻译：'没 有 不 给 的 ，'
    正确翻译：'没 有 不 给 的 ，'
    正确翻译：'没 有 不 给 的 ，'
    正确�"
无 弗 与 者 ， 至 足 矣 。,"'没 有 不 给 的 ， 就 算 是 足 够 的 。'
    正确翻译理由：
    正确翻译理由：'没 有 不 给 的 ， 这 就 算 是 够 了 。'

    正确翻译是：
    正确翻译：'没 有"
至 足 矣 。,"'是 要 求 的 最 大 的 一 率 。'
    正确翻译说明：
    正确翻译解释：
    文言文句子指的是：'这 是 要 求 的 最 大 一 率 。'
    正确翻译解释：
    正确翻译表述：
    正确����"
圣 人 治 天 下 ，,"'圣 人 治 理 天 下 ，'
    正确翻译：'圣 人 治 理 整 个 天 下 ，'
    正确翻译：'圣 人 治 理 整 个 天 下 ，'
    正确翻译：'圣 人 治 理 整 个 天 下 ，'
    正确"
圣 人 治 天 下 ， 使 有 菽 粟 如 水 火 。,"'圣 人 治 理 天 下 ， 使 人 民 充 足 豆 类 、 谷 类 的 食 物 ， 就 象 是 水 和 火 。'
</poem>

== 问题2 ==
<poem>
    文言文句子：'孟 子 曰 ："
使 有 菽 粟 如 水 火 。,"'使 他 充 沛 有 豆 类 谷 类 作 为 水 和 火 ，'
    正确翻译：'使 他 充 沛 有 豆 类 谷 类 的 营 养 ，'
    正确翻译：'使 他 充 沛 有 豆 类"
菽 粟 如 水 火 ，,"'菽 粟 就 象 水 和 火 一 样 大 ，'
    正确翻译：
    正确翻译：'菽 粟 比 水 火 大 ，'
    正确翻译：'菽 粟 比 水 火 大 ，'
    正确翻译：'菽 粟 比 水"
菽 粟 如 水 火 ， 而 民 焉 有 不 仁 者 乎 ？,"'豆 类 食 物 比 气 如 水 火 ， 人 民 却 有 没 有 不 爱 的 别 人 呢 ？'
    正确翻译的说明：
    正确翻译的原因：
    文言文句子中的'"
而 民 焉 有 不 仁 者 乎 ？,"'而 这 个 国 家 的 人 却 有 没 有 不 仁 爱 的 吗 ？'
    正确翻译理由：
    正确翻译理由：'文言 文 言 文 言 句 子 中 的 时 态 是 现 在 时 态 ，'
    正确翻译"
孟 子 曰 ：,"'孟 子 说 ：'
    正确翻译：'孟 子 说 ：'

    正确翻译是：
    正确翻译：'孟 子 说 ：'
    正确翻译：'孟 子 说 ：'
    正确翻译：'孟 子 说 ：'
    正确翻译：'�"
孟 子 曰 ： 孔 子 登 东 山 而 小 鲁 ，,"'孟 子 说 ： 孔 子 登 上 东 山 就 小 鲁 ，'
    正确翻译：'孟 子 说 ： 孔 子 登 上 东 山 就 比 小 鲁 小 了 ，'

    正确翻译是：
    正"
孟 子 曰 ： 孔 子 登 东 山 而 小 鲁 ， 登 泰 山 而 小 天 下 。,"'孟 子 说 ： 孔 子 登 上 东 山 就 小 了 鲁 国 ， 登 上 泰 山 就 小 了 天 下 。'
    正确翻译的说明：
    正确翻译的原因："
孔 子 登 东 山 而 小 鲁 ，,"'孔 子 登 上 东 山 就 小 鲁 ，'
    正确翻译：'孔 子 登 上 东 山 就 能 够 看 见 小 鲁 国 ，'
    正确翻译：'孔 子 登 上 东 山 就 能 够 看 见"
孔 子 登 东 山 而 小 鲁 ， 登 泰 山 而 小 天 下 。,"'孔 子 登 上 东 山 就 小 了 鲁 国 ， 登 上 泰 山 就 小 了 天 下 。'
    正确翻译：'孔 子 登 上 东 山 就 比 鲁 国 小 了 ， 登 上 泰 山"
登 泰 山 而 小 天 下 。,"'登 上 泰 山 就 算 是 小 天 下 。'
    正确翻译：'登 上 泰 山 就 算 是 天 下 有 限 制 的 。'
    正确翻译：'登 上 泰 山 就 算 是 天 下 有 限 制 的 。'
    正确翻译：'登 上 泰"
故 观 于 海 者 难 为 水 ，,"'因 此 ， 观 看 海 水 的 人 难 以 捉 捕 水 的 本 性 ，'
    正确翻译：'因 为 这 样 ， 观 看 海 水 的 人 难 以 捉 捕 海 水 本 性 ，'
    正确翻译"
故 观 于 海 者 难 为 水 ， 游 于 圣 人 之 门 者 难 为 言 。,"'因 为 看 待 海 水 就 算 是 水 ， 游 览 圣 人 的 门 下 就 算 是 言 论 ，'
    正确翻译的说明：
    正确翻译的解��"
游 于 圣 人 之 门 者 难 为 言 。,"'站 在 圣 人 门 下 ， 难 道 能 以 话 来 满 准 备 。'
    正确翻译的说明：
    正确翻译的原因：
    文言文句子中的'门 下 的 人 是 圣 人 的 门 人 ，'"
观 水 有 术 ，,"'观 看 水 有 哲 学 ，'
    正确翻译：'看 待 水 有 哲 学 价 值 ，'
    正确翻译：'看 待 水 有 哲 学 价 值 ，'
    正确翻译：'水 有 哲 学 价 值 ，'"
观 水 有 术 ， 必 观 其 澜 。,"'观 看 水 有 哲 学 ， 就 会 观 看 它 的 潮 澜 。'
    正确翻译理由：
    正确翻译理由：'文言 文 言 很 深 ，'
    正确翻译理由：''
    正确翻"
必 观 其 澜 。,"'必 然 要 观 看 它 的 潮 澜 。'
    正确翻译理由：
    正确翻译理由：'文言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言"
日 月 有 明 ，,"'日 月 光 辉 照 着 天 下 ，'
    正确翻译：'日 月 光 辉 照 着 天 下 ，'
    正确翻译：'日 月 光 辉 照 着 天 下 ，'
    正确翻译：'日 月 光 辉 照 着"
日 月 有 明 ， 容 光 必 照 焉 。,"'日 月 光 辉 照 照 着 地 方 ， 就 可 以 让 人 看 见 光 明 的 美 丽 。'
</syntaxhighlight>

== 文言文 ==
文言文是汉语文言文，是汉语文言文文言文文言文文言文文言文文言文文言文文言"
容 光 必 照 焉 。,"'宜 允 许 太 阳 恰 好 能 够 照 亮 这 里 的 。'
    正确翻译说明：
    正确翻译是：'宜 允 许 太 阳 恰 好 能 够 照 亮 这 里 的 。'
    正确��"
流 水 之 为 物 也 ，,"'流 水 象 是 一 种 物 体 ，'
    正确翻译：'流 水 象 是 一 种 物 体 ，'
    正确翻译：'流 水 象 是 一 种 物 体 ，'
    正确翻译：'流 水 象 是 一 种 物 体 ，'
    正确翻译：'流"
流 水 之 为 物 也 ， 不 盈 科 不 行 ；,"'流 水 象 是 自 然 的 事 物 ， 不 能 充 足 学 习 而 不 能 行 正 确 ；'
    正确翻译说明：
    正确翻译解释：
    流 水 象 表 征 自 然 事 物 的 本 性 ，"
不 盈 科 不 行 ；,"'不 能 学 不 盈 学 坛 就 不 能 行 正 确 ；'
    正确翻译说明：
    正确翻译解释：
    正确翻译表述：
    正确翻译意思：
    正确翻译句子所表达的文言文文言文文言文文言文文言文文"
君 子 之 志 于 道 也 ，,"'君 子 的 志 向 是 向 正 确 的 道 路 而 向 往 ，'
    正确翻译：'君 子 的 本 心 是 向 正 确 正 确 的 道 路 而 向 往 ，'
    正确翻译：'君 子 的 本 心 是 向 正 确 正 确 的"
君 子 之 志 于 道 也 ， 不 成 章 不 达 。,"'君 子 的 志 向 于 正 道 ， 不 能 成 章 不 能 达 成 。'
    正确翻译：'君 子 的 本 心 向 正 确 道 路 ， 不 能 成 章 不 能 实 现 完 善 。'
    正确翻译：'君"
不 成 章 不 达 。,"'不 能 充 满 力  劲 ， 不 能 达 到 最 大 的 效 果 。'
    正确翻译说明：
    正确翻译解释：
    文言文句子所表达的意思是：'不 能 充 满 力  劲 ， 不 能 达 到 最 大 的 效"
孟 子 曰 ：,"'孟 子 说 ：'
    正确翻译：'孟 子 说 ：'

    正确翻译是：
    正确翻译：'孟 子 说 ：'
    正确翻译：'孟 子 说 ：'
    正确翻译：'孟 子 说 ：'
    正确翻译：'�"
孟 子 曰 ： 鸡 鸣 而 起 ，,"'孟 子 说 ： 鸡 声 惠 后 起 来 ，'
    正确翻译：'孟 子 说 ： 鸡 声 就 是 惠 后 起 来 的 ，'
    正确翻译：'孟 子 说 ： 鸡 声 象"
孟 子 曰 ： 鸡 鸣 而 起 ， 孳 孳 为 善 者 ，,"'孟 子 说 ： 鸡 声 惠 后 起 来 ， 孜 孜 不 倦 地 善 于 善 的 ，'
    正确翻译的说明：
    正确翻译的说明：'孟"
鸡 鸣 而 起 ，,"'鸡 鸣 惠 惠 起 来 ，'
    正确翻译：
    正确翻译：'晨 鸡 惠 惠 起 声 ，'
    正确翻译：'晨 鸡 惠 惠 起 响 声 ，'
    正确翻译：'�"
鸡 鸣 而 起 ， 孳 孳 为 善 者 ，,"'鸡 鸣 惠 惠 起 来 ， 孜 孜 不 倦 地 善 于 善 的 ，'

    正确翻译是：
    正确翻译：'鸡 鸣 惠 惠 起 来 ， 孜 �"
鸡 鸣 而 起 ， 孳 孳 为 善 者 ， 舜 之 徒 也 。,"'鸡 鸣 惠 惠 起 来 ， 那 是 善 人 的 ， 就 象 是 舜 的 弟 子 那 样 。'
</poem>

== 文言文 ==
=== 文言文句子简述 ==="
孳 孳 为 善 者 ，,"'孜 孜 不 倦 地 善 于 善 的 ，'
    正确翻译：'孜 孜 不 倦 地 善 于 善 的 ，'
    正确翻译：'孜 孜 不 倦 地 善 于 善 的 ，'
    正确"
孳 孳 为 善 者 ， 舜 之 徒 也 。,"'孜 孜 不 倦 地 善 于 善 的 ， 就 象 舜 这 样 。'
    正确翻译的说明：
    正确翻译的原因：
    文言文句子中的'孜 孜 不 倦 地 善"
舜 之 徒 也 。,"'是 舜 的 徒 仆 们 。'
    正确翻译：'是 舜 的 徒 老 百 姓 。'
    正确翻译：'是 舜 的 所 践 猛 厉 的 徒 老 百 姓 。'
    正确翻译：'是 舜"
鸡 鸣 而 起 ，,"'鸡 鸣 惠 惠 起 来 ，'
    正确翻译：
    正确翻译：'晨 鸡 惠 惠 起 声 ，'
    正确翻译：'晨 鸡 惠 惠 起 响 声 ，'
    正确翻译：'�"
鸡 鸣 而 起 ， 孳 孳 为 利 者 ，,"'鸡 鸣 声 就 起 来 ， 孜 孜 不 倦 地 寻 求 利 益 的 ，'

    正确翻译的说明：
    正确翻译的原因：'鸡 鸣 声 象 是 某 种 动"
鸡 鸣 而 起 ， 孳 孳 为 利 者 ， 跖 之 徒 也 。,"'鸡 鸣 声 就 起 来 ， 孜 孜 不 倦 地 寻 求 利 益 的 ， 就 象 是 穿 着 跟 子 的 。'

    正确翻译是：
    正确"
孳 孳 为 利 者 ，,"'孜 孜 不 倦 地 求 利 益 的 ，'
    正确翻译：
    正确翻译：'孜 孜 不 倦 地 求 利 益 的 ，'
    正确翻译：'孜 孜 不 倦 地 求 利 益 的 ，'"
孳 孳 为 利 者 ， 跖 之 徒 也 。,"'孜 孜 不 倦 地 求 利 益 的 ， 就 象 是 穿 着 跟 着 跖 子 的 勤 劳 勤 劳 的 。'
    正确翻译的原因：
    在现代汉语翻译中"
跖 之 徒 也 。,"'是 跖 壁 的 徒 弟 们 。'
    正确翻译说明：
    正确翻译表述：'是 那 种 人 ， 正 是 跖 墙 的 徒 弟 们 。'
    正确翻译中的'跖 墙 的 徒 弟 们'"
欲 知 舜 与 跖 之 分 ，,"'想 知 道 舜 与 跖 的 区 别 ，'
    正确翻译：'想 知 道 舜 和 跖 的 区 别 ，'
    正确翻译：'想 知 道 舜 和 跖 的 区 别 ，'
    正确翻译：'"
欲 知 舜 与 跖 之 分 ， 无 他 ，,"'想 知 道 舜 与 跖 的 区 别 ， 没 有 其 他 方 法 ，'
    正确翻译：'想 象 知 道 舜 和 跖 的 区 别 ， 没 有 其 他 的 方 法 ，'
    正确翻译：'"
欲 知 舜 与 跖 之 分 ， 无 他 ， 利 与 善 之 间 也 。,"'想 知 舜 和 跖 的 区 别 ， 没 有 别 的 ， 是 贤 能 的 。'
    正确翻译：
    正确翻译：'想 知 道 舜 和 跖 的 区 �"
无 他 ，,"'没 有 其 他 ，'
    正确翻译：'没 有 其 他 的 ，'
    正确翻译：'没 有 其 他 方 法 ，'
    正确翻译：'没 有 其 他 方 法 ，'
    正确翻译：'没 有 其 他 办 法 ，'
    正确翻译：'没 有"
无 他 ， 利 与 善 之 间 也 。,"'没 有 别 的 ， 是 利 善 之 间 的 表 现 。'
    正确翻译的原因：
    文言文句子 '无 他 ， 利 与 善 之 间 也 。' 表达的意思是：'没 有 别 的 ， 是 某 种 表 现 的 ，"
利 与 善 之 间 也 。,"'是 在 利 用 与 善 用 之 间 。'
    正确翻译：'是 在 利 用 和 善 用 之 间 。'
    正确翻译：'是 在 利 用 和 善 用 之 间 。'
    正确翻译：'是 在 利 用 与 善 用 之"
孟 子 曰 ：,"'孟 子 说 ：'
    正确翻译：'孟 子 说 ：'

    正确翻译是：
    正确翻译：'孟 子 说 ：'
    正确翻译：'孟 子 说 ：'
    正确翻译：'孟 子 说 ：'
    正确翻译：'�"
孟 子 曰 ： 杨 子 取 为 我 ，,"'孟 子 说 ： 杨 朱 各 取 我 们 ，'
    正确翻译：'孟 子 说 ： 杨 朱 各 自 做 为 我 们 ，'
    正确翻译：'孟 子 说 ： 杨 朱 各 自 ��"
孟 子 曰 ： 杨 子 取 为 我 ， 拔 一 毛 而 利 天 下 ，,"'孟 子 说 ： 杨 朱 吾 招 为 我 ， 勤 劳 一 瓦 而 能 利 天 下 ，'
    正确翻译的说明：
    正确翻译的说明：'孟 子"
杨 子 取 为 我 ，,"'杨 朱 主 张 为 我 ，'
    正确翻译：'杨 朱 主 张 执 行 我 的 政 策 ，'
    正确翻译：'杨 朱 主 张 执 行 我 的 政 策 ，'
    正确翻译：'杨 朱 主 张 执"
杨 子 取 为 我 ， 拔 一 毛 而 利 天 下 ，,"'杨 朱 主 张 为 我 ， 勤 劳 一 瓦 瓦 而 有 利 于 天 下 ，'
    正确翻译说明：
    正确翻译：'杨 朱 主 张 是 我 的 弟 子 ， 他 勤"
杨 子 取 为 我 ， 拔 一 毛 而 利 天 下 ， 不 为 也 。,"'杨 朱 主 张 为 我 ， 拔 去 一 根 毫 毛 而 有 利 于 天 下 ， 这 就 不 算 为 劳 勤 。'

    正确翻译的原因：
    正确翻译的"
拔 一 毛 而 利 天 下 ，,"'拔 去 一 根 毫 毛 而 能 够 利 用 于 天 下 ，'
    正确翻译：'拔 去 一 瓦 瓦 的 东 西 而 能 够 用 于 天 下 ，'
    正确翻译：'拔 去 一 瓦 的"
拔 一 毛 而 利 天 下 ， 不 为 也 。,"'拔 去 一 根 毫 毛 而 利 用 天 下 ， 不 用 劳 力 。'
    正确翻译的说明：
    正确翻译的意思是：'即 使 是 一 根 毫 毛 ， 也 会 用 于 服 丧"
不 为 也 。,"'不 是 因 为 。'
    正确翻译：
    正确翻译：'不 是 因 为 。'
    正确翻译：'不 是 因 为 。'
    正确翻译：'不 是 因 为 。'
    正确翻译：'不 是 因 为 。'
    正确翻译：'不 是 因 为"
墨 子 兼 爱 ，,"'墨 子 同 样 爱 惜 ，'
    正确翻译：'墨 子 也 会 惜 忘 惜 ，'
    正确翻译：'墨 子 也 会 惜 忘 惜 ，'
    正确翻译：'墨 子 也 会 惜 ��"
墨 子 兼 爱 ， 摩 顶 放 踵 利 天 下 ，,"'墨 子 同 样 爱 国 ， 摩 顶 扇 脚 而 能 利 用 天 下 ，'

    正确翻译是：
    正确翻译：'墨 子 也 兼 爱 国 ， 摩 �"
墨 子 兼 爱 ， 摩 顶 放 踵 利 天 下 ， 为 之 。,"'墨 子 同 样 兼 爱 天 下 ， 摩 顶 扇 脚 而 能 利 天 下 ， 这 就 是 他 所 以 做 的 。'

    正确翻译理由：
    正确��"
摩 顶 放 踵 利 天 下 ，,"'摩 秃 头 放 脚 踏 腾 腾 地 利 用 天 下 ，'
    正确翻译：'挟 着 烂 澡 的 头 发 放 贵 于 脚 脚 ，'
    正确翻译：'挟 着 ��"
摩 顶 放 踵 利 天 下 ， 为 之 。,"'摩 秃 战 迷 放 贵 的 脚 踩 踏 薄 柔 地 利 用 天 下 ， 这 是 他 劝 劝 你 的 。'

    正确翻译是：
    正确翻译：'摩 秃"
为 之 。,"'这 是 我 们 要 求 的 。'
    正确翻译：'这 是 我 们 要 求 的 。'
    正确翻译：'这 是 我 们 要 求 的 。'
    正确翻译：'这 是 我 们 要 求 的 。'
    正确翻译：'这 是 我 们 要 求 的 。'"
子 莫 执 中 ，,"'孔 子 执 行 中 国 ，'
    正确翻译：'孔 子 在 中 国 执 行 政 奚 变 ，'
    正确翻译：'孔 子 在 中 国 执 行 政 制 度 变 化 ，'
    正确翻译：'孔 子 在 中"
子 莫 执 中 ， 执 中 为 近 之 ，,"'别 执 于 中 间 ， 执 中 就 算 是 接 近 正 确 的 ，'
    正确翻译的原因：
    原文句子描述了'执 中 是 正 确 的 ，' 这 个 表 达 方 法 是 文 言 文 言"
子 莫 执 中 ， 执 中 为 近 之 ， 执 中 无 权 ，,"'孔 子 又 执 着 中 间 ， 中 间 就 是 着 眼 睁 睁 的 ， 中 间 没 有 权 衡 的 ，'
    正确翻译意思：
    正确�����"
执 中 为 近 之 ，,"'宋 朝 政 府 执 行 中 国 大 国 的 政 策 ，'
    正确翻译：'宋 朝 政 府 按 照 中 国 大 国 的 政 策 执 行 ，'
    正确翻译：'宋 朝 政 府 按 照 中 国 大 国"
执 中 为 近 之 ， 执 中 无 权 ，,"'执 行 中 间 度 于 近 处 ， 执 行 中 没 有 权 衡 ，'
    正确翻译：'执 行 中 间 差 不 计 ； 执 行 中 没 有 正 确 的 判 决 力 ，'
    正确��"
执 中 为 近 之 ， 执 中 无 权 ， 犹 执 一 也 。,"'执 行 中 国 为 近 国 ， 执 行 中 国 无 所 不 权 ， 犹 是 一 个 大 国 。'
</syntaxhighlight>

== 文言文 ==
=== 文言文含义 ===
文言文含义：

    文言"
执 中 无 权 ，,"'执 行 中 没 有 权 衡 ，'
    正确翻译：'在 执 行 中 没 有 权 衡 ，'
    正确翻译：'在 执 行 中 没 有 权 衡 ，'
    正确翻译：'在 执 行 中 没 有 正"
执 中 无 权 ， 犹 执 一 也 。,"'执 行 中 国 王 室 的 法 律 ， 就 好 象 只 有 一 个 国 家 的 法 律 。'
</poem>

== 文言文 ==
=== 文言文句子：  ===
==== meaning ==== 

==== 正确翻译 ====

{{{poem"
犹 执 一 也 。,'就 好 象 是 一 个 巧
所 恶 执 一 者 ，,"'所 恶 劝 一 个 ，'
    正确翻译：'所 劝 使 一 个 做 一 个 错 误 的 ，'
    正确翻译：'所 劝 使 一 个 做 一 个 错 误 的 ，'
    正确翻译：'所 劝 使"
所 恶 执 一 者 ， 为 其 贼 道 也 ，,"'所 恶 用 一 样 害 总 的 法 律 ， 是 因 为 他 们 的 道 理 是 贼 的 ，'

    正确翻译是：
    正确翻译：'所 用 一 样 害 总 的 法 律 ，"
所 恶 执 一 者 ， 为 其 贼 道 也 ， 举 一 而 废 百 也 。,'所 做 的 徒 弟 ， 是 因 为 他 跟 着 某 种 贪 婪 道 路 ， 就 象 把 一 面 把 废 弃 百 姓 而 ��
为 其 贼 道 也 ，,"'是 因 为 他 跟 着 贼 道 ，'
    正确翻译：'是 因 为 他 跟 着 贼 人 的 行 为 方 式 ，'
    正确翻译：'是 因 为 他 跟 着 贼 人 的 行 为 方 式 ，'
    正确��"
为 其 贼 道 也 ， 举 一 而 废 百 也 。,"'这 是 他 们 背 叛 道 路 的 ， 把 一 个 偷 私 的 别 人 替 他 废 弃 百 姓 。'
    正确翻译的原因：
    原文文言文句子描述的是'"
举 一 而 废 百 也 。,"'把 一 个 做 为 百 个 垃 圾 桶 垃 圾 扫 地 。'
</syntaxhighlight>

== 文言文 ==
=== 文言文 ===
文言文是汉语文言文，是 汉 子 所 学 的 文 言 文 论 文 言 文 艺 文 艺 文 �"
孟 子 曰 ：,"'孟 子 说 ：'
    正确翻译：'孟 子 说 ：'

    正确翻译是：
    正确翻译：'孟 子 说 ：'
    正确翻译：'孟 子 说 ：'
    正确翻译：'孟 子 说 ：'
    正确翻译：'�"
孟 子 曰 ： 饥 者 甘 食 ，,"'孟 子 说 ： 饥 饿 的 人 甘 愿 吃 东 西 ，'
    正确翻译：'孟 子 说 ： 饥 饿 的 人 愿 意 吃 东 西 ，'
    正确翻译：'孟 子 说"
孟 子 曰 ： 饥 者 甘 食 ， 渴 者 甘 饮 ，,"'孟 子 说 ： 饥  hunger 感 食 ， 干 渴 感 饮 ，'
    正确翻译：'孟 子 说 ： 饥 饿 的 人 愿 意 吃 东 西 ， �"
饥 者 甘 食 ，,"'饥 饿 的 人 愿 意 吃 东 西 ，'
    正确翻译：'饥 饿 的 人 愿 意 吃 东 西 ，'
    正确翻译：'饥 饿 的 人 愿 意 吃 东 西 ，'
    正确翻译：'��"
饥 者 甘 食 ， 渴 者 甘 饮 ，,"'饥 hunger 的 人 愿 意 吃 东 西 ， 干 渴 的 人 愿 意 饮 水 ，'
</syntaxhighlight>

== 文言文 ==
文言文是汉语文言文，是汉语古代文言文的一种特定形式。

== 现代汉语 ==
现代汉"
饥 者 甘 食 ， 渴 者 甘 饮 ， 是 未 得 饮 食 之 正 也 ，,'饥 饿 的 人 愿 意 吃 东 西 ， 干 渴 的 人 愿 意 饮 水 ， 这 就 是 没 有 得 到 正 确 的 饮 食 方 法 的
渴 者 甘 饮 ，,"'干 渴 的 人 愿 意 饮 水 ，'
    正确翻译：'干 渴 的 人 愿 意 喝 水 ，'
    正确翻译：'干 渴 的 人 愿 意 喝 水 ，'
    正确翻译：'干 ��"
渴 者 甘 饮 ， 是 未 得 饮 食 之 正 也 ，,"'干 渴 的 人 愿 意 饮 水 ， 这 就 是 他 们 没 有 得 到 正 确 的 饮 食 方 法 ，'

    正确翻译是：
    正确翻译：'干 渴 的 人 �"
渴 者 甘 饮 ， 是 未 得 饮 食 之 正 也 ， 饥 渴 害 之 也 。,"'干 渴 的 人 愿 意 饮 水 ， 这 就 没 有 正 确 的 饮 食 方 法 ， 是 因 为 干 渴 害 所 致 。'
    正确"
是 未 得 饮 食 之 正 也 ，,"'这 就 是 没 有 得 到 正 确 的 饮 食 方 法 ，'
    正确翻译说明：
    正确翻译：
    正确翻译：

    正确翻译：
    正确翻译：
    正确翻译：
    正确翻译：
    正确"
