translations,modern_translation
"请将以下文言文句子翻译为现代汉语：

    文言文句子：经 始 灵 台 ， 经 之 营 之 ， 庶 民 攻 之 ，
    
    翻译结果：
    ","灵 台 经 始 建 起 ， 灵 台 经 修 造 ， 百 姓 一 起 攻 击 着 他 ，
    
    现代汉语
    
    经 始 灵 台 建 起 ， 灵 台 经 修 造 ， 百 姓 一 起 攻 击 着 灵 台 ，
    
    答 答 案 ："
"请将以下文言文句子翻译为现代汉语：

    文言文句子：经 之 营 之 ，
    
    翻译结果：
    ","答案：是 一 样 充 满 经 验 证 的 ，
    
    答案：是 一 样 经 过 了 很 多 次 实 验 的 ，
    
    答案：是 一 样 经 过 了 很 多 次 的 实 验 证 据 ，"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：经 之 营 之 ， 庶 民 攻 之 ，
    
    翻译结果：
    ","简体中文：准 备 好 营 战 ， 百 姓 一 起 攻 击 ，
    
    粤语：准 备 好 营 战 ， 老 百 姓 一 起 攻 击 ，
    
    简体中文：经 历 营 战 ， 老 百 姓 一 起 攻 击 ，
    
    粤语：准 �"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：经 之 营 之 ， 庶 民 攻 之 ， 不 日 成 之 。
    
    翻译结果：
    ",准 备 好 营 战 ， 百 姓 一 起 攻 击 ， 不 会
"请将以下文言文句子翻译为现代汉语：

    文言文句子：庶 民 攻 之 ，
    
    翻译结果：
    ",大 众 百 姓 都 都 干 错 了
"请将以下文言文句子翻译为现代汉语：

    文言文句子：庶 民 攻 之 ， 不 日 成 之 。
    
    翻译结果：
    ",庶 众 一 起 攻 击 ， 不 愈 改 变 一 天 就 能 成 功 。
"请将以下文言文句子翻译为现代汉语：

    文言文句子：不 日 成 之 。
    
    翻译结果：
    ","不 会 变 为 正 确 的 ， 这 是 一 种 不 正 确 的 。
    
    翻译结果更正：不 会 变 为 正 确 的 ， 这 是 一 种 不 正 确 的 。"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：经 始 勿 亟 ，
    
    翻译结果：
    ","古 代 文 言 文 化 的 表 达 方 式 ：
    
    不 亲 及 起 时 ，
    
    
    现 代 汉 语 的 翻 译结 果为：
    
    不 要 急 于 开 始 ，
    
    
    解 答：
    
    不 要 急 于 开 始 ，
    
    
    文 言 文 化 的 表 达 方 式 是 表 达 的 文 化 特 征 ，"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：经 始 勿 亟 ， 庶 民 子 来 。
    
    翻译结果：
    ","从 开 始 就 不 会 急 于 结 果 ， 百 姓 的 儿 子 们 来 到 灰 尸 废 墟 。
    
    答案是：
    
    从 开 始 就 不 会"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：庶 民 子 来 。
    
    翻译结果：
    ",大 多 的 人 都
"请将以下文言文句子翻译为现代汉语：

    文言文句子：王 在 灵 囿 ，
    
    翻译结果：
    ","文言文句子：王 宫 在 灵 园 里 ，
    
    翻"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：王 在 灵 囿 ， 麀 鹿 攸 伏 ，
    
    翻译结果：
    ",简化
"请将以下文言文句子翻译为现代汉语：

    文言文句子：王 在 灵 囿 ， 麀 鹿 攸 伏 ， 麀 鹿 濯 濯 ，
    
    翻译结果：
    ","现代汉语：王 室 待 在 灵 园 ， 麀 鹿 挟 住 ， 麀 鹿 洗 澡 ，
    
    翻译结果说的是：王 室 待 在 灵 园 ， 麀 鹿 挟 住 ， 麀 鹿 ��"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：麀 鹿 攸 伏 ，
    
    翻译结果：
    ","麂 鹿 总 是 住 伏 在 山 丘 ，
    
    答案是：麂 鹿 总 是 住 伏 在 山 丘 ，
    
    答案是：麂 鹿 总 是 住 伏 在 山"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：麀 鹿 攸 伏 ， 麀 鹿 濯 濯 ，
    
    翻译结果：
    ",�
"请将以下文言文句子翻译为现代汉语：

    文言文句子：麀 鹿 攸 伏 ， 麀 鹿 濯 濯 ， 白 鸟 鹤 鹤 。
    
    翻译结果：
    ","现代汉语：麀 鹿 挟 住 ， 麂 鹿 挟 住 ， 白 鸟 鹤 鹤 。
    
    解� 答：
    
    麂 鹿 挟 住 ， 麂 鹿 挟 住 ， 白 鸟 鹤 鹤 。"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：麀 鹿 濯 濯 ，
    
    翻译结果：
    ","麂 麂 鹿 洗 澡 ，
    
    答案是：麂 麂 鹿 洗 澡 ，
    
    答案理由：
    
    翻译结果正确，
    
    文言 文 中 表 达 的 意 思 是 ：
    
    麂 麂 鹿 是 一"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：麀 鹿 濯 濯 ， 白 鸟 鹤 鹤 。
    
    翻译结果：
    ","现代汉语：麀 鹿 洗 澡 ， 白 鸟 鹤 鹤 。
    
    翻译结果的正确性：
    
    正确性：正确
    
    结果：麂 鹿 洗 澡 ， 白 鸟 和 鹤 鹤 声 响 。
    
    翻译结果正确，但是结果的表述可以�"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：白 鸟 鹤 鹤 。
    
    翻译结果：
    ",白 �
"请将以下文言文句子翻译为现代汉语：

    文言文句子：王 在 灵 沼 ，
    
    翻译结果：
    ","周 武 王 住 下 在 灵 沼 池 里 ，
    
    答案：周 武 王 住 下 在 灵 沼 池 ，
    
    答案 解释：周 武 王 居 住 在 灵 沼 池 中 ，
    
    答案 结"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：王 在 灵 沼 ， 于 牣 鱼 跃 。
    
    翻译结果：
    ","王 国 在 灵 沼 池 边 ， 牣 鱼 总 是 跃 跃 跃 跃 。
    
    解� 答：
    文 言 文 言 充 沛 ， 王 国 在 灵"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：于 牣 鱼 跃 。
    
    翻译结果：
    ","现代汉语：牣 鱼 跃 到 他 所 谓 的 牣 鱼 池 。
    
    解释：
    这 个 句 子 的 意 思 是 描 述 一 个 人 牣 鱼 跃 到 那 里 他 所 说 的 牣 鱼 池 。
    
    翻译 结 果 正 确 。
    
    翻 译 结 果 正 确 ，"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：文 王 以 民 力 为 台 为 沼 。
    
    翻译结果：
    ","文 王 使 晋 国 的 百 姓 作 为 台 下 ， 使 沼 池 成 功 。
    
    解释：
    文 王 使 晋 国 的 百 姓 作 为 沼 池 的 支 悝 ， 这 样 努 力 使 沼 池 成 功 。
    
    更 现 代 的 翻 译结果：
    文 王 使 晋 国 的 百 �"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：而 民 欢 乐 之 ，
    
    翻译结果：
    ","而 普 通 的 百 姓 快 乐 ，
    
    答案是：而 普 通 百 姓 快 乐 ，
    
    这 个 翻 译 正 确 ，
    
    因 为 文 言 文 言 中 的 句 子 意 思 是 表 达 普 通 百 姓"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：而 民 欢 乐 之 ， 谓 其 台 曰 灵 台 ，
    
    翻译结果：
    ","文言文句子的意思是：而 人 民 快 乐 的 时 候 ， 叫 做 灵 台 ，
    
    这 个 翻译 是 正 确 的 吗 ？
    翻译 结 果 正 确 的 是 不 quan  s Simply  put, it means that when the people are happy, the government is called a ""spiritual platform"".
    这 个 翻 译 是 正 确"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：而 民 欢 乐 之 ， 谓 其 台 曰 灵 台 ， 谓 其 沼 曰 灵 沼 ，
    
    翻译结果：
    ","文言文句子的翻译结果为：而 人 民 快 乐 ， 称 其 台 池 为 灵 台 ， 称 其 池 池 为 灵 沼 ，
    
    这个翻译结果正确。
    
    请将以下文言文句子翻译为现代汉语：

    文言文句"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：谓 其 台 曰 灵 台 ，
    
    翻译结果：
    ",简化的
"请将以下文言文句子翻译为现代汉语：

    文言文句子：谓 其 台 曰 灵 台 ， 谓 其 沼 曰 灵 沼 ，
    
    翻译结果：
    ",叫 这 个 台 梳 台 梳 ， 叫 这 个 池 池 �
"请将以下文言文句子翻译为现代汉语：

    文言文句子：谓 其 台 曰 灵 台 ， 谓 其 沼 曰 灵 沼 ， 乐 其 有 麋 鹿 鱼 鳖 。
    
    翻译结果：
    ",叫 这
"请将以下文言文句子翻译为现代汉语：

    文言文句子：谓 其 沼 曰 灵 沼 ，
    
    翻译结果：
    ","现代汉语：彼 兄 弟 叫 做 灵 沼 ，
    
    翻译结果的句子结构是：彼 兄 弟 叫 做 灵 沼 ，
    
    翻译结果的句子结构是：彼 兄 弟 叫 做 灵 沼 ，
    
    翻译结果的句子结构是"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：谓 其 沼 曰 灵 沼 ， 乐 其 有 麋 鹿 鱼 鳖 。
    
    翻译结果：
    ",他 称 该 处 为 灵 ��
"请将以下文言文句子翻译为现代汉语：

    文言文句子：乐 其 有 麋 鹿 鱼 鳖 。
    
    翻译结果：
    ","_____________________
    
     _____________________
    
     _____________________
    
     _____________________
    
     _____________________
    
     _____________________
    
     _____________________
    
     _____________________
    
     _____________________
    
     _____________________
    
     _____________________"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：古 之 人 与 民 偕 乐 ，
    
    翻译结果：
    ","古 代 的 君 王 与 百 姓 一 起 快 乐 ，
    
    这个翻译结果是正确的，因为：
    古 代 的 君 王 与 百 姓 一 起 快 乐 的 意 思 是 ：
    古 代 的 君 王 与 百 姓 一 起 享 受 乐 趣 的 生 活 ，
    这 个 表 达 的 方 式 正 确 地 表 达 了"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：古 之 人 与 民 偕 乐 ， 故 能 乐 也 。
    
    翻译结果：
    ","古 代 的 君 王 与 百 姓 一 起 快 乐 ， 所 以 能 够 快 乐 。
    
    更 好 的 现 代 汉 语 翻 译结 果为：
    古 代 的 君 王 与 百 姓 一 起 度 考 虑 ， 这 就 是 他 们 能 够 快 乐 的 方 法 。
    
    解 答："
"请将以下文言文句子翻译为现代汉语：

    文言文句子：故 能 乐 也 。
    
    翻译结果：
    ","所 以 能 够 快 乐 的 。
    
    现代汉语��"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：汤 誓 曰 ：
    
    翻译结果：
    ",汤 誓 鸿 雁 宾
"请将以下文言文句子翻译为现代汉语：

    文言文句子：汤 誓 曰 ： 时 日 害 丧 ？
    
    翻译结果：
    ","张 汤 说 ： 你 呢 ？ 你 这 么 劲 呢 ？
    
    解释：
    张 汤 这 个 人 说 ： 你 这 么 劲 呢 ？ 你 这 么 快 啊 ？
    
    翻译结果正 确 。
    
    文言 文 句 子 的 含 义 是 ：
    
    张 汤 说 ： 你"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：时 日 害 丧 ？
    
    翻译结果：
    ","现代汉语：时 间 害 怕 吗 ？
    
    翻译结果的正确性：
    
    正确性：正确
    
    结果：另 一 个 句 子：时 间 害 怕 吗 ？
    
    结果是 正 确 的 翻 译 结 果 ，因 为 文 言 文 言 中 的 意 思 是 另 一 种 表 达 方 式 ，
    
    它 表 达"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：予 及 女 偕 亡 。
    
    翻译结果：
    ","现代汉语：我 宁 可 停 下 来 一 笔 ， 却 不 能 宁 可 停 下 来 。
    
    翻译结果的句子结构：
    
    结果：
    
        1 ： 我 宁 可 停 下 来 一 笔 ， 却 不 能 宁 可 停 下 来 。
        2 ： 予 及 女 偕 亡 。"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：民 欲 与 之 偕 亡 ，
    
    翻译结果：
    ","人 民 都 喜 欢 与 他 一 起 停 撼 ，
    
    翻译结"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：民 欲 与 之 偕 亡 ， 虽 有 台 池 鸟 兽 ，
    
    翻译结果：
    ","人 民 都 想 干 掉 他 们 ， 虽 然 有 台 岛 池 鸟 兽 ，
    
    这 个 句 子 的 现 代 汉 语 版 本 可 以 表 示 为 ：
    人 们 都 想 做 为 他 们 牺 牲 ， 虽 然 有 台 湖 池 养 养 ��"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：民 欲 与 之 偕 亡 ， 虽 有 台 池 鸟 兽 ， 岂 能 独 乐 哉 ？
    
    翻译结果：
    ","人 民 都 想 与 你 一 起 停 执 在 台 边 ， 即 使 有 台 池 养 着 鸟 与 养 着 养 禽 ， 怎 么 能 够 唯 独 自 停 滞 呢 ？
    
    解� 答："
"请将以下文言文句子翻译为现代汉语：

    文言文句子：虽 有 台 池 鸟 兽 ，
    
    翻译结果：
    ","即 使 有 台 面 池 鸟 兽 ，
    
    翻译结果的句子：即 使 你 有 很 多 的 水 壮 猪 鸟 ，
    
    正确翻译结果应该是：即 使 你 有 很 多 的 水 壮 猪 鸟 ，
    
    正确翻译结果应该是：即 使 你 有 很 多 的"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：虽 有 台 池 鸟 兽 ， 岂 能 独 乐 哉 ？
    
    翻译结果：
    ","即 使 你 有 台 面 池 养 着 鸟 与 养 禽 ， 怎 么 能 够 孤 善 哉 ？
    
    解� 答 结 果：
    即 使 你 有 善 所 以 为 ， 怎 么 能 够 孤 善 哉 ？
    
    文 言 文 句"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：岂 能 独 乐 哉 ？
    
    翻译结果：
    ","你 能 够 独 自 准 备 好 快 乐 吗 ？
    
    请将以下文言文句子翻译为现代汉语：

    文言文句子：孟"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：邹 与 鲁 哄 。
    
    翻译结果：
    ","现代汉语：邹 国 与 鲁 国 哄 哟 。
    
    翻译结果正确。
    
    
    示 例 2：

    文言 文 句 子：

    文言 文 句 子：

    翻 译 结 果：
    
    现 代 汉 语：
    
    翻 译 结 果正 确 。
    
    
    示 例 3：

    文 言 文 句 子：

    ��"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：穆 公 问 曰 ：
    
    翻译结果：
    ","穆 公 说 ：
    
    
    翻译结果"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：穆 公 问 曰 ： 吾 有 司 死 者 三 十 三 人 ，
    
    翻译结果：
    ","穆 公 回 答 ： 我 的 官 吏 人 坏 死 了 三 十 三 个 ，

    现代汉语句子：穆 公 回 答 ： 我 的 官 吏 人 坏 死 了 三 十 三"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：穆 公 问 曰 ： 吾 有 司 死 者 三 十 三 人 ， 而 民 莫 之 死 也 。
    
    翻译结果：
    ","穆 公 问 道 ： 我 的 官 吏 死 了 三 十 三 个 ， 但 是 人 民 却 不 会 受 伤 了 。
    
    解� 答 结 果：
    穆 公 说 ： 我 的 官 吏 均 坏 死 了 ， 但 是 人 民 ��"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：吾 有 司 死 者 三 十 三 人 ，
    
    翻译结果：
    ","我 的 官 吏 死 了 三 十 三 个 ，
    
     翻译结果为：我 的 官 吏 坟 三 十 三 个 ，

    现代汉语翻译为：我 的 官 吏 坟 有 三 十 三 个 ，

    这 个 句 子 表 达 的 意 思 是 ：我 的 官 吏 坟 里 有 三 十 三 个 官"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：吾 有 司 死 者 三 十 三 人 ， 而 民 莫 之 死 也 。
    
    翻译结果：
    ",我 的 官 ��
"请将以下文言文句子翻译为现代汉语：

    文言文句子：而 民 莫 之 死 也 。
    
    翻译结果：
    ","结果：不 要 杀 着 百 姓 了 。
    
    解释：
    
    这 个 句 子 表 达 的 意 思 是 ： 不 要 杀 死 百 姓 了 。
    
    翻 译 结 果 正 确 。
    
    翻 译 结 果 为 ：
    
    而 这 个 国 家 的 百 姓 不 应 该 被 杀 了 。
    
    �"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：诛 之 ，
    
    翻译结果：
    ","现代汉语：杀 他 们 ，
    
    请将以上文言文句子翻译为现代汉语：
    
    文言文句子：诗 经 曰 ： 滕 曰 ： 滕 国 之 君 ， 滕 国 之 谓 为 天 子 ， 滕 国 之 宫 室 ， 滕 国 之 城 ， 滕 国 之 墓 ， 滕 国 之 人 ， 滕 国 之"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：诛 之 ， 则 不 可 胜 诛 ；
    
    翻译结果：
    ","现代汉语：杀 他 们 ， 那 倒 是 不 会 胜 胜 过 ；
    
    解释：这 句 话 表 达 的 意 思 是 ： 如 果 杀 杀 他 们 ， 那 却 不 会 比 较 好 ；
    
    答案 辨 别 结 果 为 ：
    
    正 确 翻 译 结 果 为"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：则 不 可 胜 诛 ；
    
    翻译结果：
    ",就 算 是 不 能 比 胜 诛 ；
"请将以下文言文句子翻译为现代汉语：

    文言文句子：不 诛 ，
    
    翻译结果：
    ","不 杀 他 ，
    
    请将以上文言文句子翻"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：不 诛 ， 则 疾 视 其 长 上 之 死 而 不 救 ，
    
    翻译结果：
    ","不 杀 他 ， 那 么 看 待 他 的 长 官 却 不 救 他 死 了 ，
    
    
    请将以下文言文句子翻译为现代汉语：
    
    文言文句子：孟 子 曰 ： 昔 者 大 王 曰 ： 昔 者 大 王 曾 规 之 ，
    
    �����"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：不 诛 ， 则 疾 视 其 长 上 之 死 而 不 救 ， 如 之 何 则 可 也 ？
    
    翻译结果：
    ","不 杀 他 ， 那 又 会 怎 么 看 待 他 的 长 官 却 不 挽 救 他 呢 ？ 这 就 可 以 这 样 做 吗 ？
    
    解� 答：
    不 杀 他 ， 那 又 会 怎 么 看 待 他 的 长"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：则 疾 视 其 长 上 之 死 而 不 救 ，
    
    翻译结果：
    ",那 么
"请将以下文言文句子翻译为现代汉语：

    文言文句子：则 疾 视 其 长 上 之 死 而 不 救 ， 如 之 何 则 可 也 ？
    
    翻译结果：
    ","结果：那 就 总 是 急 切 看 那 个 长 官 杀 了 自 己 而 不 救 他 ， 这 是 怎 样 才 可 以 做 的 呢 ？
    
    解释：
    
    这 个 长 官 总 是 会 急 切 看 那 个 长 官 杀 了 自 己"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：如 之 何 则 可 也 ？
    
    翻译结果：
    ","如 果 要 怎 么 办 才 才 能 归 回 原 来 的 状 况 呢 ？
    
    请将以上文言文句子翻译为现代汉语：
    
    ��"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：孟 子 对 曰 ：
    
    翻译结果：
    ","孟 子 回 答 说 ：
    
    现代汉语表述：孟 子 回 答 ：
    
    孟 子 回 答 说 ：
    
    （孟 子 回 答 说 ： 孟 子 回 答 说 ： ）
    
    （孟"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：孟 子 对 曰 ： 凶 年 饥 岁 ，
    
    翻译结果：
    ",孟 子 回 答 ： 年 ��
"请将以下文言文句子翻译为现代汉语：

    文言文句子：孟 子 对 曰 ： 凶 年 饥 岁 ， 君 之 民 老 弱 转 乎 沟 壑 ，
    
    翻译结果：
    ","孟 子 回 答 说 ： 年 坏 年 年 功 坏 ， 年 年 变 老 弱 弱 的 百 姓 转 身 到 山 河 中 ，
    
    解释：
    孟 子 回 答 道 ： 年 坏 年 的 时 候 ， 老 百 姓"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：凶 年 饥 岁 ，
    
    翻译结果：
    ","古 代 的 年 假 ，
    
    年 假 是 为 了 防 够 灭 种 子 的 ，
    
    年 假 的 时 候 太 多 了 ，
    
    这 是 因 为 年 假 太 多 了 ，
    
    导 致 人 们 充 足 食 物 和 水 ，
    
    导 致 人 们 充 足 粮 食 和 水 ，
    
    而"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：凶 年 饥 岁 ， 君 之 民 老 弱 转 乎 沟 壑 ，
    
    翻译结果：
    ",年 坏 年 的 时 候 ， 老 百 姓 总 是 沿 着 山 河 边 岛 岛 借 用 为 自 己 的
"请将以下文言文句子翻译为现代汉语：

    文言文句子：凶 年 饥 岁 ， 君 之 民 老 弱 转 乎 沟 壑 ， 壮 者 散 而 之 四 方 者 ，
    
    翻译结果：
    ","年 坏 年 年 轻 年 轻 ， 君 主 的 百 姓 老 弱 借 沟 壑 而 转 身 ， 年 轻 勃 健 的 人 散 开 四 方 ，
    
    解� 答：
    年 坏 年 的 时 候"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：君 之 民 老 弱 转 乎 沟 壑 ，
    
    翻译结果：
    ",翻译结果
"请将以下文言文句子翻译为现代汉语：

    文言文句子：君 之 民 老 弱 转 乎 沟 壑 ， 壮 者 散 而 之 四 方 者 ，
    
    翻译结果：
    ","君 主 的 百 姓 老 弱 很 勤 劳 地 挖 深 沟 壑 ， 年 轻 勃 勃 的 壮 健 的 人 散 开 身 轻 轻 到 四 周 边 ，
    
    解� 答 ：
    象 是 挖 沼 沼 深"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：君 之 民 老 弱 转 乎 沟 壑 ， 壮 者 散 而 之 四 方 者 ， 几 千 人 矣 ；
    
    翻译结果：
    ","你 的 百 姓 老 弱 很 勤 劳 地 挖 殓 沟 壑 ， 年 轻 勃 勃 的 壮 健 的 人 散 开 来 四 方 ， 这 大 约 是 几 千 人 呢 ？
    
    解"
