translations,modern_translation
"请将以下文言文句子翻译为现代汉语：

    文言文句子：知 其 世 家 ，
    
    翻译结果：
    ",
"请将以下文言文句子翻译为现代汉语：

    文言文句子：知 其 世 家 ， 感 泣 辞 母 ，
    
    翻译结果：
    ",知 道 自 己 依 赖 于 的 所 有 地 方 ， �
"请将以下文言文句子翻译为现代汉语：

    文言文句子：知 其 世 家 ， 感 泣 辞 母 ， 去 之 南 都 入 学 舍 。
    
    翻译结果：
    ",知 道 自 己 应 该 去 那 里 建 立 个 家 ，
"请将以下文言文句子翻译为现代汉语：

    文言文句子：感 泣 辞 母 ，
    
    翻译结果：
    ","现代汉语：感 到 哀 悼 ，
    
    
    选 项：

     A: 哀 悼 ，

     B: 哀 悼 ，

     C: 哀 悼 ，

     D: 哀 悼 ，

    
    答案：

     _____

    请将以下文言文句子翻译为现代汉语：

    文言文句子：孟 子 曰 ： 昔 者"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：感 泣 辞 母 ， 去 之 南 都 入 学 舍 。
    
    翻译结果：
    ",他 感 到 哀 悼 ， 狄 人 送 他 去 南 都
"请将以下文言文句子翻译为现代汉语：

    文言文句子：去 之 南 都 入 学 舍 。
    
    翻译结果：
    ",去 往 南 下 大
"请将以下文言文句子翻译为现代汉语：

    文言文句子：昼 夜 苦 学 ，
    
    翻译结果：
    ","凭 仗 着 学 习 ，
    
    翻"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：昼 夜 苦 学 ， 五 年 未 尝 解 衣 就 寝 。
    
    翻译结果：
    ","文言文句子：一 天 下 珠 爱 一 天 下 苦 ， 五 年 没 有 解 答 衣 裘 就 很 累 。
    
    解� 答 ：
    这 个 句 子 表 达 的 意 思 是 ： 一 天 下 珍 宝 一 天 下 苦 ， 五 年 没 有 找 到"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：五 年 未 尝 解 衣 就 寝 。
    
    翻译结果：
    ","五 年 没 有 归 纳 自 己 的 衣 服 就 很 懒 散 地 寝 觉 。
    
    解释：
    这 个 句 子 表 达 的 意 思 是 ： 五 年 没 有 执 行 正 确 的 政 策 就 好 象 总 是 晚 够 睡 觉 了 。
    
    更 现 代"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：或 夜 昏 怠 ，
    
    翻译结果：
    ","一 辟 又 昏 昏 ，
    
    又 昏 昏 ，
    
    又 昏 昏 ，
    
    又 昏 昏 ，
    
    又 昏 昏 ，
    
    又 昏 昏 ，
    
    又 昏 昏 ，
    
    又 昏 昏 ，
    
    又 昏 昏 ，
    
    又 �"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：或 夜 昏 怠 ， 辄 以 水 沃 面 。
    
    翻译结果：
    ",别 搭 优 衣 服 晚 些 ， 辄 为 几 百 块 钞 ， 而 是 要 求 水 面 洗
"请将以下文言文句子翻译为现代汉语：

    文言文句子：辄 以 水 沃 面 。
    
    翻译结果：
    ",辄 以 水 善 处 于 面
"请将以下文言文句子翻译为现代汉语：

    文言文句子：往 往 糜 粥 不 充 ，
    
    翻译结果：
    ","老 百 姓 吃 吃 糟 糟 的 粥 ，
    
    答案：老 百 姓 吃 吃 �"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：往 往 糜 粥 不 充 ， 日 昃 始 食 ，
    
    翻译结果：
    ","现代汉语：很 累 吃 糖 粥 ， 很 累 吃 饭 ， 终 于 晨 起 时 起 吃 饭 ，
    
    翻译结果的正确性：
    
    翻译结果正确：不 正确 。
    
    翻译结果的正确性：
    
    翻译结果的正确性："
"请将以下文言文句子翻译为现代汉语：

    文言文句子：往 往 糜 粥 不 充 ， 日 昃 始 食 ， 遂 大 通 六 经 之 旨 ，
    
    翻译结果：
    ","古 代 人 往 往 吃 糖 油 粥 而 不 能 充 沟 ， 易 老 弱 的 人 开 始 吃 正 规 的 饮 食 ， 最 后 才 能 通 顶 六 经 ，
    
    解释：
    古 代 人 往"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：往 往 糜 粥 不 充 ， 日 昃 始 食 ， 遂 大 通 六 经 之 旨 ， 慨 然 有 志 于 天 下 。
    
    翻译结果：
    ",古 代 充 沟 糖 汤 不 充 足 ， 终 于 开 始 吃 正 面 面 ， 终 于 践 践 猛 养 六 经 之 本 思 想 ， 感 觉 有 志 向 向 天
"请将以下文言文句子翻译为现代汉语：

    文言文句子：日 昃 始 食 ，
    
    翻译结果：
    ","年 历 变 化 开 始 吃 ，
    
    解释：
    这 句 话 表 征 年 历 变 化 开 始 发 挥 动 的 ，
    它 表 明 是 一 种 年 历 变 化 的 象 征 ，
    比 辨 又 好 吃 的 ，
    即 是 一 种 象 征 性 食 物 ，
    这 种 食 物 象 征 年"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：日 昃 始 食 ， 遂 大 通 六 经 之 旨 ，
    
    翻译结果：
    ","年 历 变 化 的 时 候 起 始 吃 饭 ， 终 于 能 够 通 绍 六 经 的 本 性 ，
    
    
    请将以下文言文句子翻译为现代汉语：
    
    文言文句子：
    文 言 文  子 曰 ： 易 之 ， 各 者 不 同 也 ；
    
    翻译"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：日 昃 始 食 ， 遂 大 通 六 经 之 旨 ， 慨 然 有 志 于 天 下 。
    
    翻译结果：
    ","春 节 起 床 了 ， 终 于 能 够 让 自 己 践 脚 践 脚 猛 力 六 经 的 ， 感 兴 激 有 志 向 向 天 下 。
    
    解� 答 ：
    晨 起 晨 晓 ， 终 于 能 够"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：遂 大 通 六 经 之 旨 ，
    
    翻译结果：
    ","答案：最 终 实 行 六 经 的 大 体 结 果 就 是 我 们 所 以 做 的 ，
    
    答案：最 终 实 行 六 经 的 大 体 结 果 就 是 我 们 所 做 的 ，
    
    �����"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：遂 大 通 六 经 之 旨 ， 慨 然 有 志 于 天 下 。
    
    翻译结果：
    ","最 后 能 够 通 过 大 都 路 六 经 ， 感 到 有 志 向 向 天 下 。
    
    请将以上文言文句子����"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：慨 然 有 志 于 天 下 。
    
    翻译结果：
    ","感 觉 有 所 不 愈 改 变 ， 有 志 向 去 改 变 天 下 。
    
    请将以上文言文句子翻译为"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：常 自 诵 曰 ：
    
    翻译结果：
    ","答案：常 常 会 说 ：
    
    答案： 常 常 会 说 ：
    
    答案： 常 常 会 说 ：
    
    答案： 常 常 会 说 ：
    
    答案： 常 常 会 说 ：
    
    答案： 常 常 会 说 ：
    
    答案："
"请将以下文言文句子翻译为现代汉语：

    文言文句子：常 自 诵 曰 ： 当 先 天 下 之 忧 而 忧 ，
    
    翻译结果：
    ",现代汉语句子：常 常 会 说 ： 比 较 总 是 说 ： 当 前 时 候 对 这 个 国
"请将以下文言文句子翻译为现代汉语：

    文言文句子：常 自 诵 曰 ： 当 先 天 下 之 忧 而 忧 ， 后 天 下 之 乐 而 乐 。
    
    翻译结果：
    ","常 常 叫 做 ： 曾 经 说 ： 当 前 天 天 下 就 总 是 担 心 ， 后 来 天 天 下 就 总 是 快 满 心 ，
    
    这 个 句 子 表 达 的 意 思 是 ： 人 民 总 是 担 心 天 天 的"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：当 先 天 下 之 忧 而 忧 ，
    
    翻译结果：
    ","当 前 天 代 代 的 害 民 忧 矣 ，
    
    现 在 又 忧 矣 ，
    
    这 个 句 子 可 以 表 示 为 ：
    当 前 天 代 代 的 人 民 受 侵 羟 害 而 忧 骂 ，
    现 在 又 受 侵 羟 害 而 忧 骂 ，"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：当 先 天 下 之 忧 而 忧 ， 后 天 下 之 乐 而 乐 。
    
    翻译结果：
    ",当 前 天 代 表 的 国 家 害 迹 很 多 ， 但
"请将以下文言文句子翻译为现代汉语：

    文言文句子：后 天 下 之 乐 而 乐 。
    
    翻译结果：
    ","现代汉语：他 们 都 是 相 同 的 乐 观 吗 ？
    
    请将以上文言文句子翻译为现代汉语："
"请将以下文言文句子翻译为现代汉语：

    文言文句子：颜 渊 、
    
    翻译结果：
    ","现代汉语：颜 渊 钱 ，
    
    
    示 例：
    
    文言 文：颜 渊 、
    
    翻 译 结 果：颜 渊 钱 ，
    
    解 释 结 果：颜 渊 钱 是 一 个 较 大 的 商 人 ，
    
    示 例 说 明 ：
    
    文 言 文 ：颜 渊 、
    
    翻 译 结 果"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：颜 渊 、 季 路 伺 。
    
    翻译结果：
    ","现代汉语：颜 渊 、 季 路 似 来 。
    
    翻译结果的详细说明：
    
    颜 渊 、 季 路 是 两 个 著 名 的 文 学 家 、 学 者 。 他 们 似 乎 是 来 到 这 个 地 区 的 ， 这 个 地 区 在 文 学 领 域 有 重 要"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：季 路 伺 。
    
    翻译结果：
    ",季 节 您 怎 么 来 访 �
"请将以下文言文句子翻译为现代汉语：

    文言文句子：子 曰 ：
    
    翻译结果：
    ",文言文句子：孟 子 说 ： 昔 年 代 的 王 朝 宫 殿 中 的
"请将以下文言文句子翻译为现代汉语：

    文言文句子：子 曰 ： 盍 各 言 尔 志 ？
    
    翻译结果：
    ","文言文句子：孟 子 说 ： 您 各 人 都 说 ： 您 是 怎 样 看 待 这 个 问 题 吗 ？
    
    解� 答 结 果：
    
    文言 文 句 子 的 现 代 汉 语 翻 译 结 果 为 ：

    孟 子 说 ： 您 各 个 人 都 问 ： 您"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：盍 各 言 尔 志 ？
    
    翻译结果：
    ","现代汉语：怎 么 劝 劝 你 各 个 人 都 说 ： 你 该 怎 么 劝 他 呢 ？
    
    翻译结果的正确性：
    
    翻译结果正确：
    
    翻译结果不正确：
    
    （ ）
    
    翻译结果不正确：
    
    （ ）
    
    （ ）
    
    （ ）
    
    （ ）
    
    （ ）"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：子 路 曰 ：
    
    翻译结果：
    ",孟 子 说 ：
"请将以下文言文句子翻译为现代汉语：

    文言文句子：子 路 曰 ： 与 朋 友 共 ，
    
    翻译结果：
    ","孙 子 说 ： 与 朋 友 一 样 相 互 亲 爱 ，
    
    答案：孙 子 说 ： 与 朋 友 一 样 相 互 亲 爱 ，
    
    答案 解"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：子 路 曰 ： 与 朋 友 共 ， 敝 之 而 无 。
    
    翻译结果：
    ","李 子 路 说 ： 与 朋 友 一 起 行 迁 ， 却 不 愿 意 却 却 不 愿 意 。
    
    解� 答：
    李 子 路 说 ： 我 们 一 起 去 中 国 ， 但 是 我 们 却 不 愿 意 去 。
     Translation: Li Zixiu said, ""Traveling with friends to China together,"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：与 朋 友 共 ，
    
    翻译结果：
    ",孟 子 说 ： 昔 年 代 的 大 王 说 ： 昔 年 代 的 大 王
"请将以下文言文句子翻译为现代汉语：

    文言文句子：与 朋 友 共 ， 敝 之 而 无 。
    
    翻译结果：
    ","结果1： 朋 友 们 一 起 去 ， 我 却 没 有 人 搭 一 起 车 。
    结果2： 朋 友 们 一 起 去 ， 我 却 没 有 人 搭 一 起 车 。
    
    结果3： 朋 友 们 一 起 去 ， 我 却 没 有 人 搭 一 起 车 。
    结果4： 朋"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：敝 之 而 无 。
    
    翻译结果：
    ","结果：没 有 执 行 他 的 建 设 计 畸 。
    
    解释：
    
    这 个 句 子 表 征 的 是 人 们 对 某 个 政 府 或 政 府 机 构 的 不 满 意 ， 这 个 政 府 或 政 府 的 建 设 计 略 没 有 实 施 。
    
    示 例 翻 译：
    
    文言 文 句 子"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：颜 渊 曰 ：
    
    翻译结果：
    ","郁 郁 渊 曰 ：
    
    ："
"请将以下文言文句子翻译为现代汉语：

    文言文句子：颜 渊 曰 ： 愿 无 伐 善 ，
    
    翻译结果：
    ","陈 颜 渊 大 学 生 说 ： 我 希 望 不 会 侵 犯 正 的 ，
    
    这 个 句 子 的 意 思 是 ：
    
    爱 国 的 人 希 望 不 会 被 侵 犯 ，
    
    请 将 以上 文言 文 句 子 翻 译 为 现 代 汉 语 :
    
    翻 �"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：颜 渊 曰 ： 愿 无 伐 善 ， 无 施 劳 。
    
    翻译结果：
    ","陈 颜 渊 说 ： 我 希 望 不 会 侵 犯 正 致 的 ， 不 会 给 人 劳 力 。
    
    请将以上文言文句子翻译为现代汉语：
    结果：
    陈 颜 渊 说 ： 我 希 望 不 会 侵 犯 正 正 的 ， 不 会 给 人"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：愿 无 伐 善 ，
    
    翻译结果：
    ","答案：我 希 望 不 会 侵 犯 正 确 正 规 的 ，
    
    答案：我 希 望 不 会 侵 犯 正 确 正 规 的 ，
    
    答案：我 希 望 不 会 侵 犯"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：愿 无 伐 善 ， 无 施 劳 。
    
    翻译结果：
    ","一 般 都 不 会 侵 犯 正 纯 的 ， 不 会 给 别 人 劳 力 。
    
    解� 答：
    我 希 望 不 会 侵 犯 正 纯 的 ， 不 会 给 别 人 劳 力 。
    
    文言
    文 言 文 言 文 言 文 言 文 言 文 言 文 言 文 言 文"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：无 施 劳 。
    
    翻译结果：
    ","没 有 给 您 付 劳 力 。
    
    解释：
    这 句 话 表 达 的 意 思 是 ： 没 有 给 您 劳 力 。
    
    更 正 的 翻 译结果 是 ： 没 有 给 你 劳 力 。
    
    翻 译 结 果 体 面 所 表 示 的 是 ： 没 有 给 你 劳 力 。
    
    翻 译 结"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：子 路 曰 ：
    
    翻译结果：
    ",孟 子 说 ：
"请将以下文言文句子翻译为现代汉语：

    文言文句子：子 路 曰 ： 愿 闻 子 之 志 。
    
    翻译结果：
    ","李 子 说 ： 我 希 望 能 够 听 老 百 姓 的 志 向 。
    
    这个翻译结果是正确的吗？
    
    答案：
    是 correct 的 翻 译 结 果 。
     Yes, the translation is correct. The sentence ""李 子 说 ： 我 希 望 能 够 听 老 百 姓 的 志 向 。"" translates to ""Li 子"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：愿 闻 子 之 志 。
    
    翻译结果：
    ","现代汉语：我 希 望 齐 国 能 够 与 我 同 意 。
    
    请将以上文言文句子翻译"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：子 曰 ：
    
    翻译结果：
    ",文言文句子：孟 子 说 ： 昔 年 代 的 王 朝 宫 殿 中 的
"请将以下文言文句子翻译为现代汉语：

    文言文句子：子 曰 ： 老 者 安 之 ，
    
    翻译结果：
    ","孟 子 说 ： 老 百 姓 都 应 该 坚 定 于 办 正 的 道 路 ，
    
    答案：孟 子 说 ： 老 百 姓 都 应 该 坚 守 正 确 正 规 的 行 为 方 式 ，"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：子 曰 ： 老 者 安 之 ， 朋 友 信 之 ，
    
    翻译结果：
    ","文言文句子： 陈 邠 子 说 ： 老 百 姓 都 安 定 ， 朋 友 信 他 ，
    
    解释：
    陈 邠 是 文 言 文 学 家 ，
    文 言 文 语 中 表 达 的 意 思 是 ： 老 百 姓 都 坚 定 地 相 互 亲 爱 ， 朋 友 相 信 他"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：子 曰 ： 老 者 安 之 ， 朋 友 信 之 ， 少 者 怀 之 。
    
    翻译结果：
    ","李 渴 对 老 百 姓 安 定 ， 朋 友 信 誓 ， 少 数 别 人 总 是 总 是 相 互 亲 爱 。
    
    解� 答：
    李 渴 说 ： 老 百 姓 应 该 安 定 ， 朋 友 应 该 相 信 ， 但 是 ��"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：老 者 安 之 ，
    
    翻译结果：
    ",老 百 姓 都 �
"请将以下文言文句子翻译为现代汉语：

    文言文句子：老 者 安 之 ， 朋 友 信 之 ，
    
    翻译结果：
    ","老 百 姓 都 护 着 他 ， 朋 友 相 信 他 ，
    
    答案：老 百 姓 都 护 着 他 ， 朋 友 相 信 他 ，
    
    答案解释：老 百 ��"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：老 者 安 之 ， 朋 友 信 之 ， 少 者 怀 之 。
    
    翻译结果：
    ","文言文句子：老 百 姓 都 护 着 他 ， 朋 友 都 相 信 他 ， 别 人 却 总 是 总 是 怀 恶 他 。
    
    解� 答 结 果：
    老 百 姓 都 相 互 亲 爱 他 ， 朋 友 都 相 信 他 ， 但 ��"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：朋 友 信 之 ，
    
    翻译结果：
    ",现代汉语：孟 子 说 ： 昔 年 代 的 大 王 说 ： 昔 年 代
"请将以下文言文句子翻译为现代汉语：

    文言文句子：朋 友 信 之 ， 少 者 怀 之 。
    
    翻译结果：
    ","结果1：朋 友 相 信 ， 人 民 很 少 相 信 他 们 。
    结果2：朋 友 相 信 ， 人 民 很 少 相 信 他 们 。
    
    翻译结果2 更 准 确 地 表 达 文 言 文 的 意 思 ：
    
    结 果 3：朋 友 相 信 ， 人 民 很 少 相 信 他 们 。"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：少 者 怀 之 。
    
    翻译结果：
    ",�����
"请将以下文言文句子翻译为现代汉语：

    文言文句子：凡 先 生 之 游 ，
    
    翻译结果：
    ","他 们 都 是 前 行 的 人 ，
    
    答案是  correct 。
    
    文言文句子 的 翻译 结 果 正 确 ，
    文言 文 中 的 句 子 表 达 的 意 思 是 所 在 处 是 前 行 者 ，
    所 以 翻 �"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：凡 先 生 之 游 ， 以 二 马 三 骡 载 书 自 随 。
    
    翻译结果：
    ","文言文句子的翻译结果为：凡 人 的 前 夕 游 览 ， 只 是 用 两 马 三 骑 马 一 起 跑 一 损 笔 书 。
    
    解释：
    这 段 文言 文 描 述 的 是 一 个 人 在 前 夕 去 游 览 ， 只"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：以 二 马 三 骡 载 书 自 随 。
    
    翻译结果：
    ","现代汉语：凭 仗 着 两 马 三 骑 马 载 书 易 于 随 临 。
    
    解释：
    这 句 话 表 征 的 意 思 是 ： 只 要 着 着 着 着 着 着 着 着 着 着 着 着 着 着 着 着 着"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：所 至 厄 塞 ，
    
    翻译结果：
    ","现代汉语：到 达 厄 岌 ，
    
    
    请将以上文言文句子翻译为现代汉语：
    
    文言文句子：孟 子 曰 ： 昔 者 曰 ： 昔 者 曰 ： 昔 者 曰 ： 昔 者 曰 ： 昔 者 曰 ： 昔 者 曰 ： 昔 者 曰 ： 昔 者 �"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：所 至 厄 塞 ， 即 呼 老 兵 退 卒 询 其 曲 折 ；
    
    翻译结果：
    ","到 达 厄 塞 地 区 ， 即 召 唁 老 百 姓 退 奔 去 询 问 他 们 的 路 径 ；
    
    解释：
    这 段 文言 文 句 子 描 述 的 是 在 厄 塞 地 区 所 至 的 时 候"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：所 至 厄 塞 ， 即 呼 老 兵 退 卒 询 其 曲 折 ； 或 与 平 日 所 闻 不 合 ，
    
    翻译结果：
    ","到 达 厄 塞 地 区 ， 即 召 唁 老 百 姓 退 伏 几 辈 儿 询 问 他 们 的 路 径 ； 或 是 与 平 常 人 所 说 的 不 同 ，
    
    �����"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：即 呼 老 兵 退 卒 询 其 曲 折 ；
    
    翻译结果：
    ",他 就 是 叫 晓 老 百 姓 退 伏 召 ��
"请将以下文言文句子翻译为现代汉语：

    文言文句子：即 呼 老 兵 退 卒 询 其 曲 折 ； 或 与 平 日 所 闻 不 合 ，
    
    翻译结果：
    ",即 是 老 百 姓 一 起 去 啃
"请将以下文言文句子翻译为现代汉语：

    文言文句子：或 与 平 日 所 闻 不 合 ，
    
    翻译结果：
    ","一 样 是 不 能 与 平 常 人 交 践 的 ，
    
    另 一 个 可 以 说 是 不 能 与 日 常 生 活 相 匹 配 的 ，
    
    这 个 句 子 的 意 思 是 ：
    
    或 可 以 说 是 不 能 与 日 常 人 交 践 的 ，
    
    或 可 以 说 是 不 能 与 日 常 生 活"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：或 与 平 日 所 闻 不 合 ， 则 即 坊 肆 中 发 书 而 对 勘 之 。
    
    翻译结果：
    ","别 执 行 平 常 规 律 ， 那 倒 是 比 护 城 充 满 即 使 误 解 的 人 一 样 勋 功 勋 功 。
    
    解释：
    这 段 文言 文 句 子 表 征 的 是 一 种 不 正 确 的"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：则 即 坊 肆 中 发 书 而 对 勘 之 。
    
    翻译结果：
    ","结 果 是 半 坊 肆 中 发 报 而 对 勘 疏 。
    
    解释：
    这 段 话 表 征 的 是 一 种 不 愿 意 犹 太 地 处 发 报 报 ， 而 是 半 坐 半 站 地 地 下 发 报 ， 这 是 对 勘 疏 的"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：或 径 行 平 原 大 野 ，
    
    翻译结果：
    ",或 是
"请将以下文言文句子翻译为现代汉语：

    文言文句子：或 径 行 平 原 大 野 ， 无 足 留 意 ，
    
    翻译结果：
    ","可 是 往 着 沿 着 小 径 行 远 地 ， 没 有 劲 力 坚 持 一 定 的 行 为 ，
    
    现代汉语句子：
    他 可 以 沿 着 小 径 行 远 地 ， 没 有 坚 定 的 行 为 ，
     他 可 以 沿 着 一 样 小"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：或 径 行 平 原 大 野 ， 无 足 留 意 ， 则 于 鞍 上 默 诵 诸 经 注 疏 ；
    
    翻译结果：
    ","可 是 别 宜 道 途 是 长 河 大 草 原 ， 不 愿 意 却 坚 持 着 护 灵 台 垫 上 读 着 经 典 和 注 略 ，
    
    解� 答 结 果：
    有 时 的 行 为 ��"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：无 足 留 意 ，
    
    翻译结果：
    ","没 有 足 规 划 地 把 礼 物 送 给 你 ，
    
    这 个 翻 译 结 果 正 确 。
    
    
    示 意 文言 文 句 子：
    文言 文 句 子：
    文 言 文 句 子：
    
    翻 译 结 果 为 ：
    
    翻 译 结 果 为 ：
    
    翻 译 结 果 为 ：
    
    �"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：无 足 留 意 ， 则 于 鞍 上 默 诵 诸 经 注 疏 ；
    
    翻译结果：
    ","没 有 足 规 划 地 坚 守 信 劝 又 的 声 信 ， 就 好 象 在 脚 执 着 马 车 上 默 谓 《 经 书 》 ， 甚 远 超 过 ；
    
    解� 答 结 果：
    不 会 有 有 策 略 而 坚"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：无 足 留 意 ， 则 于 鞍 上 默 诵 诸 经 注 疏 ； 偶 有 遗 忘 ，
    
    翻译结果：
    ",没 有 足 够 损 害 自 己 的 心 理 ， 那 倒 是 把 自 己 的 经 文 、 文 艺 放 在 衣 帧 上 默 谓 读 诵 ； 有 别 的 情 况 ， 可 能 会 忘 记
"请将以下文言文句子翻译为现代汉语：

    文言文句子：则 于 鞍 上 默 诵 诸 经 注 疏 ；
    
    翻译结果：
    ","结 果 是 因 为 鞍 上 珠 子 、 背 着 绳 绳 扣 紧 紧 搭 上 珍 宝 宝 的 那 种 别 具 一 样 。
    
    解 释：
    这 个 句 子 意 味 为 ： 只 是 因 为 鞍 上 珍 禽 珠 子 、 背"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：则 于 鞍 上 默 诵 诸 经 注 疏 ； 偶 有 遗 忘 ，
    
    翻译结果：
    ","那 就 象 是 在 鞍 上 盖 着 珠 子 ， 默 诵 着 整 篇 经 书 。 有 fois 他 会 忘 了 ，
    
    翻译后的文言文句子：那 就 象 是 在 鞍 上 盖 着 珍 宝 ， 默 诵 着 �"
