content,translation
麀 鹿 攸 伏 ， 麀 鹿 濯 濯 ，,母 鹿 伏 在 深 草 丛 。 母 鹿 肥 大 毛 色 润 ，
麀 鹿 攸 伏 ， 麀 鹿 濯 濯 ， 白 鸟 鹤 鹤 。,母 鹿 伏 在 深 草 丛 。 母 鹿 肥 大 毛 色 润 ， 白 鸟 洁 净 羽 毛 丰 。
麀 鹿 濯 濯 ，,母 鹿 肥 大 毛 色 润 ，
麀 鹿 濯 濯 ， 白 鸟 鹤 鹤 。,母 鹿 肥 大 毛 色 润 ， 白 鸟 洁 净 羽 毛 丰 。
白 鸟 鹤 鹤 。,白 鸟 洁 净 羽 毛 丰 。
王 在 灵 沼 ，,国 王 游 览 到 灵 沼 ，
王 在 灵 沼 ， 于 牣 鱼 跃 。,国 王 游 览 到 灵 沼 ， 满 池 鱼 儿 欢 跳 跃 。
于 牣 鱼 跃 。,满 池 鱼 儿 欢 跳 跃 。
文 王 以 民 力 为 台 为 沼 。,周 文 王 用 老 百 姓 的 劳 力 来 修 建 高 台 深 池 ，
而 民 欢 乐 之 ，,可 是 老 百 姓 非 常 高 兴 ，
而 民 欢 乐 之 ， 谓 其 台 曰 灵 台 ，,可 是 老 百 姓 非 常 高 兴 ， 把 那 个 台 叫 做 灵 台 ，
而 民 欢 乐 之 ， 谓 其 台 曰 灵 台 ， 谓 其 沼 曰 灵 沼 ，,可 是 老 百 姓 非 常 高 兴 ， 把 那 个 台 叫 做 灵 台 ， 把 那 个 池 叫 做 灵 沼 ，
谓 其 台 曰 灵 台 ，,把 那 个 台 叫 做 灵 台 ，
谓 其 台 曰 灵 台 ， 谓 其 沼 曰 灵 沼 ，,把 那 个 台 叫 做 灵 台 ， 把 那 个 池 叫 做 灵 沼 ，
谓 其 台 曰 灵 台 ， 谓 其 沼 曰 灵 沼 ， 乐 其 有 麋 鹿 鱼 鳖 。,把 那 个 台 叫 做 灵 台 ， 把 那 个 池 叫 做 灵 沼 ， 以 那 里 面 有 麋 鹿 鱼 鳖 等 珍 禽 异 兽 为 快 乐 。
谓 其 沼 曰 灵 沼 ，,把 那 个 池 叫 做 灵 沼 ，
谓 其 沼 曰 灵 沼 ， 乐 其 有 麋 鹿 鱼 鳖 。,把 那 个 池 叫 做 灵 沼 ， 以 那 里 面 有 麋 鹿 鱼 鳖 等 珍 禽 异 兽 为 快 乐 。
乐 其 有 麋 鹿 鱼 鳖 。,以 那 里 面 有 麋 鹿 鱼 鳖 等 珍 禽 异 兽 为 快 乐 。
古 之 人 与 民 偕 乐 ，,古 代 的 君 王 与 民 同 乐 ，
古 之 人 与 民 偕 乐 ， 故 能 乐 也 。,古 代 的 君 王 与 民 同 乐 ， 所 以 能 真 正 快 乐 。
故 能 乐 也 。,所 以 能 真 正 快 乐 。
汤 誓 曰 ：,《 汤 誓 》 说 ：
汤 誓 曰 ： 时 日 害 丧 ？,《 汤 誓 》 说 ： 你 这 太 阳 啊 ， 什 么 时 候 毁 灭 呢 ？
时 日 害 丧 ？,你 这 太 阳 啊 ， 什 么 时 候 毁 灭 呢 ？
予 及 女 偕 亡 。,我 宁 肯 与 你 一 起 毁 灭 ！
民 欲 与 之 偕 亡 ，,老 百 姓 恨 不 得 与 你 同 归 于 尽 ，
民 欲 与 之 偕 亡 ， 虽 有 台 池 鸟 兽 ，,老 百 姓 恨 不 得 与 你 同 归 于 尽 ， 即 使 你 有 高 太 深 池 、 珍 禽 异 兽 ，
民 欲 与 之 偕 亡 ， 虽 有 台 池 鸟 兽 ， 岂 能 独 乐 哉 ？,老 百 姓 恨 不 得 与 你 同 归 于 尽 ， 即 使 你 有 高 太 深 池 、 珍 禽 异 兽 ， 难 道 能 独 自 享 受 快 乐 吗 ？
虽 有 台 池 鸟 兽 ，,即 使 你 有 高 太 深 池 、 珍 禽 异 兽 ，
虽 有 台 池 鸟 兽 ， 岂 能 独 乐 哉 ？,即 使 你 有 高 太 深 池 、 珍 禽 异 兽 ， 难 道 能 独 自 享 受 快 乐 吗 ？
岂 能 独 乐 哉 ？,难 道 能 独 自 享 受 快 乐 吗 ？
邹 与 鲁 哄 。,邹 国 与 鲁 国 交 战 。
穆 公 问 曰 ：,邹 穆 公 对 孟 子 说 ：
穆 公 问 曰 ： 吾 有 司 死 者 三 十 三 人 ，,邹 穆 公 对 孟 子 说 ： 我 的 官 吏 死 了 三 十 三 个 ，
穆 公 问 曰 ： 吾 有 司 死 者 三 十 三 人 ， 而 民 莫 之 死 也 。,邹 穆 公 对 孟 子 说 ： 我 的 官 吏 死 了 三 十 三 个 ， 百 姓 却 没 有 一 个 为 他 们 而 牺 牲 的 。
吾 有 司 死 者 三 十 三 人 ，,我 的 官 吏 死 了 三 十 三 个 ，
吾 有 司 死 者 三 十 三 人 ， 而 民 莫 之 死 也 。,我 的 官 吏 死 了 三 十 三 个 ， 百 姓 却 没 有 一 个 为 他 们 而 牺 牲 的 。
而 民 莫 之 死 也 。,百 姓 却 没 有 一 个 为 他 们 而 牺 牲 的 。
诛 之 ，,杀 他 们 吧 ，
诛 之 ， 则 不 可 胜 诛 ；,杀 他 们 吧 ， 杀 不 了 那 么 多 ；
则 不 可 胜 诛 ；,杀 不 了 那 么 多 ；
不 诛 ，,不 杀 他 们 吧 ，
不 诛 ， 则 疾 视 其 长 上 之 死 而 不 救 ，,不 杀 他 们 吧 ， 又 实 在 恨 他 们 眼 睁 睁 地 看 着 长 官 被 杀 而 不 去 营 救 。
不 诛 ， 则 疾 视 其 长 上 之 死 而 不 救 ， 如 之 何 则 可 也 ？,不 杀 他 们 吧 ， 又 实 在 恨 他 们 眼 睁 睁 地 看 着 长 官 被 杀 而 不 去 营 救 。 到 底 怎 么 办 才 好 呢 ？
则 疾 视 其 长 上 之 死 而 不 救 ，,又 实 在 恨 他 们 眼 睁 睁 地 看 着 长 官 被 杀 而 不 去 营 救 。
则 疾 视 其 长 上 之 死 而 不 救 ， 如 之 何 则 可 也 ？,又 实 在 恨 他 们 眼 睁 睁 地 看 着 长 官 被 杀 而 不 去 营 救 。 到 底 怎 么 办 才 好 呢 ？
如 之 何 则 可 也 ？,到 底 怎 么 办 才 好 呢 ？
孟 子 对 曰 ：,孟 子 回 答 说 ：
孟 子 对 曰 ： 凶 年 饥 岁 ，,孟 子 回 答 说 ： 灾 荒 年 岁 ，
孟 子 对 曰 ： 凶 年 饥 岁 ， 君 之 民 老 弱 转 乎 沟 壑 ，,孟 子 回 答 说 ： 灾 荒 年 岁 ， 年 老 体 弱 的 弃 尸 于 山 沟 ，
凶 年 饥 岁 ，,灾 荒 年 岁 ，
凶 年 饥 岁 ， 君 之 民 老 弱 转 乎 沟 壑 ，,灾 荒 年 岁 ， 年 老 体 弱 的 弃 尸 于 山 沟 ，
凶 年 饥 岁 ， 君 之 民 老 弱 转 乎 沟 壑 ， 壮 者 散 而 之 四 方 者 ，,灾 荒 年 岁 ， 年 老 体 弱 的 弃 尸 于 山 沟 ， 年 轻 力 壮 的 四 处 逃 荒 ，
君 之 民 老 弱 转 乎 沟 壑 ，,年 老 体 弱 的 弃 尸 于 山 沟 ，
君 之 民 老 弱 转 乎 沟 壑 ， 壮 者 散 而 之 四 方 者 ，,年 老 体 弱 的 弃 尸 于 山 沟 ， 年 轻 力 壮 的 四 处 逃 荒 ，
君 之 民 老 弱 转 乎 沟 壑 ， 壮 者 散 而 之 四 方 者 ， 几 千 人 矣 ；,年 老 体 弱 的 弃 尸 于 山 沟 ， 年 轻 力 壮 的 四 处 逃 荒 ， 差 不 多 有 上 千 人 吧 ；
壮 者 散 而 之 四 方 者 ，,年 轻 力 壮 的 四 处 逃 荒 ，
壮 者 散 而 之 四 方 者 ， 几 千 人 矣 ；,年 轻 力 壮 的 四 处 逃 荒 ， 差 不 多 有 上 千 人 吧 ；
几 千 人 矣 ；,差 不 多 有 上 千 人 吧 ；
而 君 之 仓 廪 实 ，,而 您 的 粮 仓 里 堆 满 粮 食 ，
而 君 之 仓 廪 实 ， 府 库 充 ，,而 您 的 粮 仓 里 堆 满 粮 食 ， 货 库 里 装 满 财 宝 ，
而 君 之 仓 廪 实 ， 府 库 充 ， 有 司 莫 以 告 ，,而 您 的 粮 仓 里 堆 满 粮 食 ， 货 库 里 装 满 财 宝 ， 官 吏 们 却 从 来 不 向 您 报 告 ，
府 库 充 ，,货 库 里 装 满 财 宝 ，
府 库 充 ， 有 司 莫 以 告 ，,货 库 里 装 满 财 宝 ， 官 吏 们 却 从 来 不 向 您 报 告 ，
府 库 充 ， 有 司 莫 以 告 ， 是 上 慢 而 残 下 也 。,货 库 里 装 满 财 宝 ， 官 吏 们 却 从 来 不 向 您 报 告 ， 这 是 他 们 不 关 心 老 百 姓 并 且 还 残 害 老 百 姓 的 表 现 。
有 司 莫 以 告 ，,官 吏 们 却 从 来 不 向 您 报 告 ，
有 司 莫 以 告 ， 是 上 慢 而 残 下 也 。,官 吏 们 却 从 来 不 向 您 报 告 ， 这 是 他 们 不 关 心 老 百 姓 并 且 还 残 害 老 百 姓 的 表 现 。
是 上 慢 而 残 下 也 。,这 是 他 们 不 关 心 老 百 姓 并 且 还 残 害 老 百 姓 的 表 现 。
曾 子 曰 ：,曾 子 说 ：
曾 子 曰 ： 戒 之 戒 之 ！,曾 子 说 ： 小 心 啊 ， 小 心 啊 ！
戒 之 戒 之 ！,小 心 啊 ， 小 心 啊 ！
出 乎 尔 者 ，,你 怎 样 对 待 别 人 ，
出 乎 尔 者 ， 反 乎 尔 者 也 。,你 怎 样 对 待 别 人 ， 别 人 也 会 怎 样 对 待 你 。
反 乎 尔 者 也 。,别 人 也 会 怎 样 对 待 你 。
夫 民 今 而 后 得 反 之 也 。,现 在 就 是 老 百 姓 报 复 他 们 的 时 候 了 。
君 无 尤 焉 。,您 不 要 归 罪 于 老 百 姓 吧 ！
君 行 仁 政 ，,只 要 您 施 行 仁 政 ，
君 行 仁 政 ， 斯 民 亲 其 上 ，,只 要 您 施 行 仁 政 ， 老 百 姓 自 然 就 会 亲 近 他 们 的 领 导 人 ，
君 行 仁 政 ， 斯 民 亲 其 上 ， 死 其 长 矣 。,只 要 您 施 行 仁 政 ， 老 百 姓 自 然 就 会 亲 近 他 们 的 领 导 人 ， 肯 为 他 们 的 长 官 而 牺 牲 了 。
斯 民 亲 其 上 ，,老 百 姓 自 然 就 会 亲 近 他 们 的 领 导 人 ，
斯 民 亲 其 上 ， 死 其 长 矣 。,老 百 姓 自 然 就 会 亲 近 他 们 的 领 导 人 ， 肯 为 他 们 的 长 官 而 牺 牲 了 。
死 其 长 矣 。,肯 为 他 们 的 长 官 而 牺 牲 了 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 易 其 田 畴 ，,孟 子 说 ： 改 变 同 样 类 型 的 田 土 ，
孟 子 曰 ： 易 其 田 畴 ， 薄 其 税 敛 ，,孟 子 说 ： 改 变 同 样 类 型 的 田 土 ， 减 少 税 收 ，
易 其 田 畴 ，,改 变 同 样 类 型 的 田 土 ，
易 其 田 畴 ， 薄 其 税 敛 ，,改 变 同 样 类 型 的 田 土 ， 减 少 税 收 ，
易 其 田 畴 ， 薄 其 税 敛 ， 民 可 使 富 也 。,改 变 同 样 类 型 的 田 土 ， 减 少 税 收 ， 就 可 以 使 人 民 富 裕 了 。
薄 其 税 敛 ，,减 少 税 收 ，
薄 其 税 敛 ， 民 可 使 富 也 。,减 少 税 收 ， 就 可 以 使 人 民 富 裕 了 。
民 可 使 富 也 。,就 可 以 使 人 民 富 裕 了 。
食 之 以 时 ，,饮 食 按 季 节 ，
食 之 以 时 ， 用 之 以 礼 ，,饮 食 按 季 节 ， 使 用 按 社 会 行 为 规 范 ，
食 之 以 时 ， 用 之 以 礼 ， 财 不 可 胜 用 也 。,饮 食 按 季 节 ， 使 用 按 社 会 行 为 规 范 ， 财 物 就 用 不 完 了 。
用 之 以 礼 ，,使 用 按 社 会 行 为 规 范 ，
用 之 以 礼 ， 财 不 可 胜 用 也 。,使 用 按 社 会 行 为 规 范 ， 财 物 就 用 不 完 了 。
财 不 可 胜 用 也 。,财 物 就 用 不 完 了 。
民 非 水 火 不 生 活 ，,人 民 没 有 水 和 火 就 不 能 生 活 ，
民 非 水 火 不 生 活 ， 求 水 火 ，,人 民 没 有 水 和 火 就 不 能 生 活 ， 求 借 水 和 火 ，
民 非 水 火 不 生 活 ， 求 水 火 ， 无 弗 与 者 ，,人 民 没 有 水 和 火 就 不 能 生 活 ， 求 借 水 和 火 ， 没 有 不 给 的 ，
求 水 火 ，,求 借 水 和 火 ，
求 水 火 ， 无 弗 与 者 ，,求 借 水 和 火 ， 没 有 不 给 的 ，
求 水 火 ， 无 弗 与 者 ， 至 足 矣 。,求 借 水 和 火 ， 没 有 不 给 的 ， 因 为 相 当 充 足 。
无 弗 与 者 ，,没 有 不 给 的 ，
无 弗 与 者 ， 至 足 矣 。,没 有 不 给 的 ， 因 为 相 当 充 足 。
至 足 矣 。,因 为 相 当 充 足 。
圣 人 治 天 下 ，,圣 人 治 理 天 下 ，
圣 人 治 天 下 ， 使 有 菽 粟 如 水 火 。,圣 人 治 理 天 下 ， 使 豆 类 、 谷 类 象 水 和 火 一 样 充 足 。
使 有 菽 粟 如 水 火 。,使 豆 类 、 谷 类 象 水 和 火 一 样 充 足 。
菽 粟 如 水 火 ，,谷 类 植 物 象 水 和 火 一 样 充 足 ，
菽 粟 如 水 火 ， 而 民 焉 有 不 仁 者 乎 ？,谷 类 植 物 象 水 和 火 一 样 充 足 ， 人 民 哪 里 会 有 不 愿 意 与 人 相 互 亲 爱 的 呢 ？
而 民 焉 有 不 仁 者 乎 ？,人 民 哪 里 会 有 不 愿 意 与 人 相 互 亲 爱 的 呢 ？
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 孔 子 登 东 山 而 小 鲁 ，,孟 子 说 ： 孔 子 登 上 东 山 就 觉 得 鲁 国 小 了 ，
孟 子 曰 ： 孔 子 登 东 山 而 小 鲁 ， 登 泰 山 而 小 天 下 。,孟 子 说 ： 孔 子 登 上 东 山 就 觉 得 鲁 国 小 了 ， 登 上 泰 山 就 觉 得 天 下 小 了 ，
孔 子 登 东 山 而 小 鲁 ，,孔 子 登 上 东 山 就 觉 得 鲁 国 小 了 ，
孔 子 登 东 山 而 小 鲁 ， 登 泰 山 而 小 天 下 。,孔 子 登 上 东 山 就 觉 得 鲁 国 小 了 ， 登 上 泰 山 就 觉 得 天 下 小 了 ，
登 泰 山 而 小 天 下 。,登 上 泰 山 就 觉 得 天 下 小 了 ，
故 观 于 海 者 难 为 水 ，,所 以 观 看 过 大 海 的 人 难 以 赞 叹 一 般 的 水 ，
故 观 于 海 者 难 为 水 ， 游 于 圣 人 之 门 者 难 为 言 。,所 以 观 看 过 大 海 的 人 难 以 赞 叹 一 般 的 水 ， 在 圣 人 门 下 学 过 的 人 难 以 被 一 般 言 论 所 吸 引 。
游 于 圣 人 之 门 者 难 为 言 。,在 圣 人 门 下 学 过 的 人 难 以 被 一 般 言 论 所 吸 引 。
观 水 有 术 ，,观 看 水 有 方 法 ，
观 水 有 术 ， 必 观 其 澜 。,观 看 水 有 方 法 ， 一 定 要 看 它 壮 阔 的 波 澜 。
必 观 其 澜 。,一 定 要 看 它 壮 阔 的 波 澜 。
日 月 有 明 ，,日 月 有 无 比 的 光 辉 ，
日 月 有 明 ， 容 光 必 照 焉 。,日 月 有 无 比 的 光 辉 ， 小 缝 隙 也 能 照 射 进 去 。
容 光 必 照 焉 。,小 缝 隙 也 能 照 射 进 去 。
流 水 之 为 物 也 ，,流 水 的 本 性 ，
流 水 之 为 物 也 ， 不 盈 科 不 行 ；,流 水 的 本 性 ， 不 充 满 水 坑 就 不 会 流 走 。
不 盈 科 不 行 ；,不 充 满 水 坑 就 不 会 流 走 。
君 子 之 志 于 道 也 ，,君 子 之 所 以 有 志 于 人 生 的 正 道 ，
君 子 之 志 于 道 也 ， 不 成 章 不 达 。,君 子 之 所 以 有 志 于 人 生 的 正 道 ， 不 彰 明 也 就 不 会 通 达 。
不 成 章 不 达 。,不 彰 明 也 就 不 会 通 达 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 鸡 鸣 而 起 ，,孟 子 说 ： 晨 鸡 报 晓 就 起 来 ，
孟 子 曰 ： 鸡 鸣 而 起 ， 孳 孳 为 善 者 ，,孟 子 说 ： 晨 鸡 报 晓 就 起 来 ， 孜 孜 不 倦 地 行 善 的 ，
鸡 鸣 而 起 ，,晨 鸡 报 晓 就 起 来 ，
鸡 鸣 而 起 ， 孳 孳 为 善 者 ，,晨 鸡 报 晓 就 起 来 ， 孜 孜 不 倦 地 行 善 的 ，
鸡 鸣 而 起 ， 孳 孳 为 善 者 ， 舜 之 徒 也 。,晨 鸡 报 晓 就 起 来 ， 孜 孜 不 倦 地 行 善 的 ， 是 舜 之 类 的 人 ；
孳 孳 为 善 者 ，,孜 孜 不 倦 地 行 善 的 ，
孳 孳 为 善 者 ， 舜 之 徒 也 。,孜 孜 不 倦 地 行 善 的 ， 是 舜 之 类 的 人 ；
舜 之 徒 也 。,是 舜 之 类 的 人 ；
鸡 鸣 而 起 ，,晨 鸡 报 晓 就 起 来 ，
鸡 鸣 而 起 ， 孳 孳 为 利 者 ，,晨 鸡 报 晓 就 起 来 ， 孜 孜 不 倦 地 求 利 益 的 ，
鸡 鸣 而 起 ， 孳 孳 为 利 者 ， 跖 之 徒 也 。,晨 鸡 报 晓 就 起 来 ， 孜 孜 不 倦 地 求 利 益 的 ， 是 盗 跖 之 类 的 人 。
孳 孳 为 利 者 ，,孜 孜 不 倦 地 求 利 益 的 ，
孳 孳 为 利 者 ， 跖 之 徒 也 。,孜 孜 不 倦 地 求 利 益 的 ， 是 盗 跖 之 类 的 人 。
跖 之 徒 也 。,是 盗 跖 之 类 的 人 。
欲 知 舜 与 跖 之 分 ，,要 想 知 道 舜 和 跖 的 区 别 ，
欲 知 舜 与 跖 之 分 ， 无 他 ，,要 想 知 道 舜 和 跖 的 区 别 ， 没 有 别 的 ，
欲 知 舜 与 跖 之 分 ， 无 他 ， 利 与 善 之 间 也 。,要 想 知 道 舜 和 跖 的 区 别 ， 没 有 别 的 ， 只 是 求 利 和 求 善 的 不 同 。
无 他 ，,没 有 别 的 ，
无 他 ， 利 与 善 之 间 也 。,没 有 别 的 ， 只 是 求 利 和 求 善 的 不 同 。
利 与 善 之 间 也 。,只 是 求 利 和 求 善 的 不 同 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 杨 子 取 为 我 ，,孟 子 说 ： 杨 朱 主 张 为 我 ，
孟 子 曰 ： 杨 子 取 为 我 ， 拔 一 毛 而 利 天 下 ，,孟 子 说 ： 杨 朱 主 张 为 我 ， 就 算 是 拔 去 自 己 一 根 毫 毛 而 有 利 于 天 下 ，
杨 子 取 为 我 ，,杨 朱 主 张 为 我 ，
杨 子 取 为 我 ， 拔 一 毛 而 利 天 下 ，,杨 朱 主 张 为 我 ， 就 算 是 拔 去 自 己 一 根 毫 毛 而 有 利 于 天 下 ，
杨 子 取 为 我 ， 拔 一 毛 而 利 天 下 ， 不 为 也 。,杨 朱 主 张 为 我 ， 就 算 是 拔 去 自 己 一 根 毫 毛 而 有 利 于 天 下 ， 他 也 不 愿 意 。
拔 一 毛 而 利 天 下 ，,就 算 是 拔 去 自 己 一 根 毫 毛 而 有 利 于 天 下 ，
拔 一 毛 而 利 天 下 ， 不 为 也 。,就 算 是 拔 去 自 己 一 根 毫 毛 而 有 利 于 天 下 ， 他 也 不 愿 意 。
不 为 也 。,他 也 不 愿 意 。
墨 子 兼 爱 ，,墨 子 主 张 兼 爱 天 下 ，
墨 子 兼 爱 ， 摩 顶 放 踵 利 天 下 ，,墨 子 主 张 兼 爱 天 下 ， 哪 怕 是 摩 秃 头 顶 磨 破 脚 跟 而 对 天 下 有 利 ，
墨 子 兼 爱 ， 摩 顶 放 踵 利 天 下 ， 为 之 。,墨 子 主 张 兼 爱 天 下 ， 哪 怕 是 摩 秃 头 顶 磨 破 脚 跟 而 对 天 下 有 利 ， 他 也 愿 意 干 。
摩 顶 放 踵 利 天 下 ，,哪 怕 是 摩 秃 头 顶 磨 破 脚 跟 而 对 天 下 有 利 ，
摩 顶 放 踵 利 天 下 ， 为 之 。,哪 怕 是 摩 秃 头 顶 磨 破 脚 跟 而 对 天 下 有 利 ， 他 也 愿 意 干 。
为 之 。,他 也 愿 意 干 。
子 莫 执 中 ，,子 莫 采 取 中 间 态 度 ，
子 莫 执 中 ， 执 中 为 近 之 ，,子 莫 采 取 中 间 态 度 ， 中 间 态 度 比 较 接 近 正 确 。
子 莫 执 中 ， 执 中 为 近 之 ， 执 中 无 权 ，,子 莫 采 取 中 间 态 度 ， 中 间 态 度 比 较 接 近 正 确 。 但 是 折 中 却 不 能 权 衡 轻 重 ，
执 中 为 近 之 ，,中 间 态 度 比 较 接 近 正 确 。
执 中 为 近 之 ， 执 中 无 权 ，,中 间 态 度 比 较 接 近 正 确 。 但 是 折 中 却 不 能 权 衡 轻 重 ，
执 中 为 近 之 ， 执 中 无 权 ， 犹 执 一 也 。,中 间 态 度 比 较 接 近 正 确 。 但 是 折 中 却 不 能 权 衡 轻 重 ， 就 象 坚 持 一 个 极 端 一 样 。
执 中 无 权 ，,但 是 折 中 却 不 能 权 衡 轻 重 ，
执 中 无 权 ， 犹 执 一 也 。,但 是 折 中 却 不 能 权 衡 轻 重 ， 就 象 坚 持 一 个 极 端 一 样 。
犹 执 一 也 。,就 象 坚 持 一 个 极 端 一 样 。
所 恶 执 一 者 ，,厌 恶 坚 持 一 端 的 做 法 ，
所 恶 执 一 者 ， 为 其 贼 道 也 ，,厌 恶 坚 持 一 端 的 做 法 ， 是 因 为 它 是 损 害 正 道 的 ，
所 恶 执 一 者 ， 为 其 贼 道 也 ， 举 一 而 废 百 也 。,厌 恶 坚 持 一 端 的 做 法 ， 是 因 为 它 是 损 害 正 道 的 ， 只 抓 住 一 端 而 废 弃 了 其 余 所 有 的 部 分 。
为 其 贼 道 也 ，,是 因 为 它 是 损 害 正 道 的 ，
为 其 贼 道 也 ， 举 一 而 废 百 也 。,是 因 为 它 是 损 害 正 道 的 ， 只 抓 住 一 端 而 废 弃 了 其 余 所 有 的 部 分 。
举 一 而 废 百 也 。,只 抓 住 一 端 而 废 弃 了 其 余 所 有 的 部 分 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 饥 者 甘 食 ，,孟 子 说 ： 饥 饿 的 人 甘 愿 吃 东 西 ，
孟 子 曰 ： 饥 者 甘 食 ， 渴 者 甘 饮 ，,孟 子 说 ： 饥 饿 的 人 甘 愿 吃 东 西 ， 干 渴 的 人 甘 愿 饮 水 ，
饥 者 甘 食 ，,饥 饿 的 人 甘 愿 吃 东 西 ，
饥 者 甘 食 ， 渴 者 甘 饮 ，,饥 饿 的 人 甘 愿 吃 东 西 ， 干 渴 的 人 甘 愿 饮 水 ，
饥 者 甘 食 ， 渴 者 甘 饮 ， 是 未 得 饮 食 之 正 也 ，,饥 饿 的 人 甘 愿 吃 东 西 ， 干 渴 的 人 甘 愿 饮 水 ， 这 就 是 没 有 得 到 正 确 的 饮 食 方 法 ，
渴 者 甘 饮 ，,干 渴 的 人 甘 愿 饮 水 ，
渴 者 甘 饮 ， 是 未 得 饮 食 之 正 也 ，,干 渴 的 人 甘 愿 饮 水 ， 这 就 是 没 有 得 到 正 确 的 饮 食 方 法 ，
